,Factors,Key,RC: 7_26,RG: 7_26,SE: 7_26,RC_Sum: 7_26,CS: 7_26
0,Net_SW_Wm2_Avg,0,358.9114307797264,0.6134027774135272,1.8153087373216532,0.4353090573121993,0.4353090573121993
1,Net_LW_Wm2_Avg,1,38.223332108345716,0.23033722030619777,0.8899924659611638,0.04635952282508069,0.9235699196252402
2,WindSpd,2,25.66882772984255,0.26486984888712567,0.746754860274877,0.031132675761014444,0.9999999999999999
3,NDVI,3,71.0411960859273,0.1949429209033648,1.1565392938895058,0.08616297349825992,0.8090409285507824
4,Deep,4,237.09997024414255,0.42157849470774333,1.8064607191843052,0.2875688977403231,0.7228779550525224
5,Shallow,5,56.205587671312095,0.22748492645720642,0.9033449960509032,0.06816946824937703,0.8772103968001594
6,VPD_est,6,37.347617807243616,0.2788527733180672,1.1273145545926397,0.04529740461374536,0.9688673242389855
