datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-11 15:00:00,-1.9666548,-2.7195876,-1.8320565,-1.6138933,-2.2454662,-2.6477838,-2.7206385
2016-07-11 15:30:00,-2.5920763,-3.3005626,-1.7424828,-1.6138934,-3.0195181,-3.1930144,-3.2187855
2016-07-11 16:00:00,-2.4471908,-3.1962779,-1.7082269,-1.6138933,-2.8471305,-3.073013,-3.1270075
2016-07-11 16:30:00,-2.2871149,-3.072032,-1.6738647,-1.6138933,-2.665016,-2.932319,-3.0206459
2016-07-11 17:00:00,-2.1144743,-2.9033365,-1.6395025,-1.6138933,-2.4744518,-2.791625,-2.8722725
2016-07-11 17:30:00,-2.1334813,-2.9238207,-1.6196369,-1.6138933,-2.5009632,-2.807657,-2.889659
2016-07-11 18:00:00,-1.2674526,-1.9159805,-1.557577,-1.6138933,-1.3210868,-1.865791,-1.9602854
2016-07-11 18:30:00,-1.0341681,-1.6352962,-1.5399305,-1.6138933,-1.0084391,-1.5736959,-1.6937095
2016-07-11 19:00:00,-0.5544032,-1.0644145,-1.5048943,-1.6138933,-0.3974583,-0.97689974,-1.1188486
2016-07-11 19:30:00,-0.35538304,-0.8299126,-1.4805604,-1.6138933,-0.1897378,-0.750077,-0.88009167
2016-07-11 20:00:00,0.12548387,-0.2831732,-1.4665872,-1.6138933,0.29403245,-0.24393404,-0.31535578
2016-07-11 20:30:00,0.5679718,0.23289621,-1.441909,-1.6138933,0.7383715,0.21372926,0.209602
2016-07-11 21:00:00,0.8173686,0.53064907,-1.4124843,-1.6138933,0.9959413,0.47483194,0.5124835
2016-07-11 21:30:00,0.93390334,0.6752027,-1.4169246,-1.6138933,1.1193846,0.60053265,0.65952647
2016-07-11 22:00:00,0.64956915,0.3331381,-1.4425671,-1.6138933,0.824263,0.30191553,0.31157005
2016-07-11 22:30:00,0.7550937,0.4601289,-1.434341,-1.6138933,0.9337677,0.41350853,0.44074833
2016-07-11 23:00:00,1.2173382,1.021969,-1.3991796,-1.6138933,1.4148756,0.90207374,1.0122653
2016-07-11 23:30:00,1.4399725,1.2960533,-1.3950858,-1.6138933,1.647348,1.1404122,1.2910703
2016-07-12 00:00:00,1.6099571,1.505505,-1.3943181,-1.6138933,1.8249365,1.3227605,1.5043789
2016-07-12 00:30:00,1.7698404,1.7018276,-1.3976443,-1.6138933,1.9921309,1.494912,1.7055079
2016-07-12 01:00:00,1.8955632,1.8552254,-1.3948299,-1.6138933,2.1223128,1.6294242,1.8624924
2016-07-12 01:30:00,1.9831866,1.9583834,-1.3783991,-1.6138934,2.2129204,1.7198821,1.9680628
2016-07-12 02:00:00,2.033322,2.0203328,-1.3790288,-1.6138933,2.2649934,1.7742034,2.0314598
2016-07-12 02:30:00,2.068776,2.0650256,-1.381075,-1.6138933,2.302149,1.813394,2.077198
2016-07-12 03:00:00,2.0766623,2.0715628,-1.3719227,-1.6138933,2.3102677,1.8191262,2.0838888
2016-07-12 03:30:00,2.1070352,2.1032097,-1.3591566,-1.6138943,2.333638,1.8468806,2.1162753
2016-07-12 04:00:00,2.0900984,2.0772703,-1.3466086,-1.6139069,2.3058026,1.8241748,2.0897295
2016-07-12 04:30:00,2.0628903,2.0403209,-1.3402508,-1.6138935,2.2675412,1.7917322,2.0519164
2016-07-12 05:00:00,2.0172148,1.98148,-1.3398981,-1.6138933,2.212979,1.7401348,1.9916993
2016-07-12 05:30:00,1.9436709,1.8894414,-1.3435425,-1.6138976,2.1328702,1.6594416,1.8975083
2016-07-12 06:00:00,1.8079864,1.721816,-1.3453045,-1.6138933,1.9922944,1.5124396,1.7259637
2016-07-12 06:30:00,1.6594082,1.5389177,-1.344865,-1.6138933,1.8406144,1.3520597,1.5386528
2016-07-12 07:00:00,1.3020266,1.0948402,-1.3486005,-1.6138941,1.4716705,0.96544397,1.0863916
2016-07-12 07:30:00,1.0001968,0.72370255,-1.3468426,-1.6138933,1.164683,0.64270675,0.7088615
2016-07-12 08:00:00,0.78597796,0.46229064,-1.348161,-1.6138933,0.9459218,0.41538846,0.44294727
2016-07-12 08:30:00,0.23222983,-0.20670843,-1.3405566,-1.6138933,0.38080537,-0.17588282,-0.23757434
2016-07-12 09:00:00,0.117804654,-0.34696126,-1.3401934,-1.6138933,0.25910962,-0.3011644,-0.38076937
2016-07-12 09:30:00,0.014537818,-0.46463132,-1.3398634,-1.6138933,0.15494001,-0.40937352,-0.5020621
2016-07-12 10:00:00,-0.4642954,-1.0128243,-1.3415638,-1.6138933,-0.3647821,-0.92699885,-1.0661547
