,Key,Level,MAE,Model,R2
0,1_0,1,0.42011824865156244,wind_speed,-1358.8017769979651
1,1_0,1,0.4225422695976356,wind_speed,-881.6932356878102
2,1_0,1,0.42641855483621594,wind_speed,-263.06315244698527
3,1_0,1,0.42259734672740423,wind_speed,-744.695578786586
4,1_0,1,0.4194787341365766,wind_speed,-200.38962037228933
5,1_0,1,0.42162778540520646,wind_speed,-2331.728006308969
6,1_0,1,0.41587430063248965,wind_speed,-129.63893574349592
7,1_0,1,0.41650375740449663,wind_speed,-608.641691163036
8,1_0,1,0.4250227255686617,wind_speed,-158.52727433082785
9,1_0,1,0.4173171111199759,wind_speed,-381.37790848763643
10,1_0,1,0.42545640568906695,wind_speed,-391.80401998327386
11,1_0,1,0.41664358826364944,wind_speed,-660.6818420099443
12,1_0,1,0.42231141949842826,wind_speed,-509.05641863141244
13,1_0,1,0.4217204031632343,wind_speed,-1110.7159084802524
14,1_0,1,0.4160606476327891,wind_speed,-693.7892854784194
15,1_0,1,0.41887198888887184,wind_speed,-2507.0264169627326
16,1_0,1,0.41948405116898363,wind_speed,-102.1700667127242
17,1_0,1,0.4171905250690811,wind_speed,-999.307450367215
18,1_0,1,0.42607841257960494,wind_speed,-341.97566704998707
19,1_0,1,0.4228750121995961,wind_speed,-598.9657878562415
20,1_0,1,0.4215952320291764,wind_speed,-262.17433444236195
21,1_0,1,0.4189005037281555,wind_speed,-2721.124059315248
22,1_0,1,0.4169583427960902,wind_speed,-1135.2501374082046
23,1_0,1,0.4192602393303306,wind_speed,-192.07132051225153
24,1_0,1,0.4160716898844808,wind_speed,-2233.3000085925287
25,1_0,1,0.4176778684529475,wind_speed,-1016.1800864781213
26,1_0,1,0.4179144319948275,wind_speed,-1668.7932843382712
27,1_0,1,0.42337157823775917,wind_speed,-922.4482990507786
28,1_0,1,0.4266833245632731,wind_speed,-277.1320835338707
29,1_0,1,0.41965159233690774,wind_speed,-1076.5999339426546
30,1_1,1,0.4209481459489798,air_pressure,-171.21634278017538
31,1_1,1,0.42566958035592073,air_pressure,-67.29757388852111
32,1_1,1,0.42844937867202476,air_pressure,-43.268458773595896
33,1_1,1,0.41235896420990864,air_pressure,-49.58972255203063
34,1_1,1,0.4300645828282729,air_pressure,-60.445988881683505
35,1_1,1,0.41710468043605425,air_pressure,-615.5730196920431
36,1_1,1,0.4245583821547815,air_pressure,-71.0301913948166
37,1_1,1,0.4221700671305082,air_pressure,-193.78139761562016
38,1_1,1,0.4333702326800752,air_pressure,-46.09885802709742
39,1_1,1,0.42513727441851884,air_pressure,-97.69106084764451
40,1_1,1,0.42940492111917256,air_pressure,-52.02382354516235
41,1_1,1,0.42283347625125367,air_pressure,-138.85591515160897
42,1_1,1,0.42967433419543183,air_pressure,-55.04049758424365
43,1_1,1,0.42149566611671174,air_pressure,-191.42679985986302
44,1_1,1,0.4217393185358335,air_pressure,-145.52270225862196
45,1_1,1,0.42169241466290336,air_pressure,-171.2764908257519
46,1_1,1,0.43230233734159945,air_pressure,-35.9385468556282
47,1_1,1,0.4190639049675757,air_pressure,-811.5720179463696
48,1_1,1,0.41380136630472714,air_pressure,-33.31909862894101
49,1_1,1,0.4230190135410488,air_pressure,-108.61539245580079
50,1_1,1,0.4327444292786476,air_pressure,-46.599714622322395
51,1_1,1,0.41497180488319346,air_pressure,-420.53230395595915
52,1_1,1,0.4247692960906369,air_pressure,-105.15316298853847
53,1_1,1,0.4284653448277713,air_pressure,-50.87709618774354
54,1_1,1,0.4204805874837178,air_pressure,-324.47738723279605
55,1_1,1,0.42328323210460267,air_pressure,-153.3056408660753
56,1_1,1,0.4235981401453515,air_pressure,-135.85708087600807
57,1_1,1,0.41508007039020733,air_pressure,-126.98450629898859
58,1_1,1,0.4184050541340557,air_pressure,-50.93710184392256
59,1_1,1,0.41582534241388286,air_pressure,-562.78362746727
60,1_2,1,0.13639516006882496,PPFD_Avg,0.8256217116874017
61,1_2,1,0.13972707571949078,PPFD_Avg,0.8171722562699664
62,1_2,1,0.1429217247331149,PPFD_Avg,0.8058238689453037
63,1_2,1,0.13574498534951307,PPFD_Avg,0.8239373841289478
64,1_2,1,0.13840884155349123,PPFD_Avg,0.8257579196309082
65,1_2,1,0.13783741523866314,PPFD_Avg,0.8218736928649185
66,1_2,1,0.14413912984008123,PPFD_Avg,0.8088629759890489
67,1_2,1,0.1408915131301974,PPFD_Avg,0.818180197604155
68,1_2,1,0.1460497143200284,PPFD_Avg,0.8106449417121108
69,1_2,1,0.14549352542224306,PPFD_Avg,0.8065292247979127
70,1_2,1,0.13798034337844736,PPFD_Avg,0.8274330787240816
71,1_2,1,0.14031066654302718,PPFD_Avg,0.8225183918561272
72,1_2,1,0.14240081893261342,PPFD_Avg,0.8171845302347247
73,1_2,1,0.13924763686959452,PPFD_Avg,0.8220660783661469
74,1_2,1,0.14362316594634644,PPFD_Avg,0.801766657178665
75,1_2,1,0.14310182232151616,PPFD_Avg,0.8131596478939742
76,1_2,1,0.14769526460430998,PPFD_Avg,0.8010476547569921
77,1_2,1,0.14332719331707863,PPFD_Avg,0.8046061548443159
78,1_2,1,0.13868253564452224,PPFD_Avg,0.8199584388810817
79,1_2,1,0.14013092423270496,PPFD_Avg,0.8242885581690162
80,1_2,1,0.1394128600331118,PPFD_Avg,0.8244293478188334
81,1_2,1,0.14236752371895087,PPFD_Avg,0.8099411411309196
82,1_2,1,0.14052582220856616,PPFD_Avg,0.8214075163254786
83,1_2,1,0.14200328387128086,PPFD_Avg,0.8207682061759164
