datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+Sedge,Model: AirTC_Avg+Sedge,BestModel: PPFD_Avg+Sedge
2016-07-12 11:00:00,5.154245,6.957124,6.890491,6.0588937,6.183738,5.7395477,5.6271796
2016-07-12 11:30:00,5.047107,6.8219385,7.00653,6.0588937,6.1235914,5.6665077,5.700364
2016-07-12 12:00:00,4.7183714,5.988708,7.152321,6.0588937,5.453725,5.5701246,6.1662235
2016-07-12 12:30:00,4.7524233,6.027157,7.3046684,6.0588937,5.49356,5.4684715,6.1949453
2016-07-12 13:00:00,4.881002,6.0038433,7.488792,6.0588937,5.394875,5.3434753,6.1237907
2016-07-12 13:30:00,5.6960974,7.3476734,7.687335,6.0589,4.6179276,5.208686,5.571351
2016-07-12 14:00:00,8.311089,11.137736,8.03007,6.059048,6.750808,4.975907,7.6904974
2016-07-12 14:30:00,6.7834105,8.731341,8.025634,6.059555,4.710978,4.9785576,5.828723
2016-07-12 15:00:00,5.5072756,6.8550024,7.8869867,6.0588937,4.8853045,5.0731525,5.756375
2016-07-12 15:30:00,6.393259,8.150784,7.9912496,6.0588937,4.3398466,5.0023713,5.4390144
2016-07-12 16:00:00,7.0614433,9.001263,8.199775,6.0588937,4.93761,4.8608093,6.036411
2016-07-12 16:30:00,8.756865,11.520794,8.358387,6.0588937,7.07525,4.753132,7.986722
2016-07-12 17:00:00,8.376792,10.686366,8.599079,6.058903,6.3673325,4.589726,7.3408284
2016-07-12 17:30:00,8.493525,10.879168,8.590205,6.058898,6.5308924,4.595754,7.4900618
2016-07-12 18:00:00,9.447566,12.0216875,8.96067,6.0593185,7.5017467,4.343957,8.375254
2016-07-12 18:30:00,8.567168,10.4552,9.143685,6.0588937,6.17117,4.222327,7.16187
2016-07-12 19:00:00,6.462249,7.4694223,8.800949,6.0588937,4.5518584,4.4526896,5.539826
2016-07-12 19:30:00,6.0976305,6.861853,8.838661,6.0588937,4.8815866,4.427088,5.753694
2016-07-12 20:00:00,7.1720715,8.093237,9.3200445,6.0591016,4.324344,4.2395225,5.4460216
2016-07-12 20:30:00,6.4357896,7.0755987,9.186943,6.059068,4.765473,4.2227173,5.6697984
2016-07-12 21:00:00,5.728144,6.093584,9.070479,6.0594625,5.2981563,4.2693076,6.0534873
2016-07-12 21:30:00,5.423482,6.2617583,8.950688,6.3022537,5.52835,4.5779634,5.9981437
2016-07-12 22:00:00,4.8813043,6.8721848,8.595752,6.4033575,6.0265665,4.6539288,5.6970277
2016-07-12 22:30:00,4.89806,6.98289,8.377243,6.3004584,6.278844,4.682028,5.4289565
2016-07-12 23:00:00,5.287468,7.0336027,7.8304186,6.441838,6.271061,5.0198293,5.0792327
2016-07-12 23:30:00,5.2982693,7.0764675,7.630767,6.506597,6.2767224,5.14632,5.0094438
2016-07-13 00:00:00,5.2163143,7.1686563,7.458844,6.4999065,6.322113,5.240246,4.879048
2016-07-13 00:30:00,5.1215053,7.173545,7.468827,6.3379116,6.3613014,5.2118726,4.8939476
2016-07-13 01:00:00,4.926786,7.209327,7.4277873,6.086515,6.4460506,5.365233,4.883148
2016-07-13 01:30:00,4.909688,7.22717,7.2957954,6.070585,6.459401,5.466175,4.8606176
2016-07-13 02:00:00,4.8867316,7.2392716,7.337944,6.060472,6.468245,5.4447584,4.8452125
2016-07-13 02:30:00,5.0447617,7.2420464,7.5009933,6.324001,6.3970637,5.194108,4.798263
2016-07-13 03:00:00,4.9468927,7.23992,7.339053,6.142962,6.443387,5.3853,4.8293633
2016-07-13 03:30:00,5.7734876,7.2415156,7.556452,6.7876053,6.3445067,5.778317,5.018593
2016-07-13 04:00:00,7.7272487,7.2386074,7.894751,10.031031,7.492547,8.632952,6.669413
2016-07-13 04:30:00,5.201485,7.2317014,7.77496,6.662452,6.321285,5.097118,4.7709737
2016-07-13 05:00:00,5.093485,7.2167697,7.8282003,6.4217277,6.3627977,5.016233,4.821074
2016-07-13 05:30:00,5.747099,7.199181,7.7849426,6.8686085,6.376987,6.0227804,5.151195
2016-07-13 06:00:00,6.2934585,7.1721325,7.7904882,7.6773114,6.6424704,6.6592326,5.5748243
2016-07-13 06:30:00,5.6948442,7.1002264,8.129897,6.9374,6.310424,5.8786225,5.1379614
2016-07-13 07:00:00,7.8474917,7.0255017,8.360605,10.23451,7.621331,9.140819,7.4012737
2016-07-13 07:30:00,12.22004,6.98293,8.499252,15.53836,13.530682,14.118287,12.946387
2016-07-13 08:00:00,13.8894205,6.6338573,9.074916,16.622921,16.377346,15.33942,15.236733
2016-07-13 08:30:00,13.611039,6.243715,9.094881,15.103428,15.46229,13.858988,14.909904
2016-07-13 09:00:00,16.068659,7.1634846,9.749296,16.950113,18.196724,15.910055,17.545855
2016-07-13 09:30:00,15.516237,6.680013,10.269501,16.989937,17.915575,16.279839,17.171211
2016-07-13 10:00:00,17.43653,8.164094,11.03705,16.982962,18.91048,16.823717,18.436543
2016-07-13 10:30:00,18.187708,8.993825,11.63157,16.541708,19.042253,16.873222,18.706444
2016-07-13 11:00:00,18.432432,10.158854,11.95545,16.100456,19.641867,16.728642,19.2638
2016-07-13 11:30:00,19.400648,11.19959,12.379156,16.619133,21.164457,17.475473,20.674911
2016-07-13 12:00:00,19.74206,11.598894,12.92709,16.639395,21.559486,17.885725,21.037506
2016-07-13 12:30:00,18.3429,13.05518,13.015824,14.094276,20.196753,15.775708,19.739845
2016-07-13 13:00:00,19.390707,12.687194,13.301992,15.479903,21.35068,17.164324,20.810553
2016-07-13 13:30:00,20.956648,13.254832,13.868781,16.785053,23.262917,18.685455,22.602865
