datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-11 15:00:00,-2.2699878,-2.6391668,-2.0891016,-1.6133748,-2.4691095,-2.2815816,-2.658496
2016-07-11 15:30:00,-3.2440875,-3.3773088,-2.017512,-1.613375,-3.3305857,-2.9680018,-3.3289351
2016-07-11 16:00:00,-3.0326412,-3.2259734,-1.9855295,-1.6133748,-3.1675427,-2.7957935,-3.1899095
2016-07-11 16:30:00,-2.7960238,-3.0746381,-1.9531173,-1.6133748,-2.994506,-2.6235855,-3.0221014
2016-07-11 17:00:00,-2.5518107,-2.873136,-1.9083289,-1.6133747,-2.7629228,-2.4513774,-2.8520815
2016-07-11 17:30:00,-2.5851207,-2.8979933,-1.8821442,-1.6133747,-2.7979162,-2.4710007,-2.8724518
2016-07-11 18:00:00,-1.4453841,-1.6702045,-1.8079982,-1.6133747,-1.5023826,-1.6867057,-1.7942439
2016-07-11 18:30:00,-1.1963837,-1.3634317,-1.7853382,-1.6133747,-1.1856234,-1.4216928,-1.5092391
2016-07-11 19:00:00,-0.6922035,-0.74076104,-1.7295597,-1.6133747,-0.5445055,-0.883784,-0.916371
2016-07-11 19:30:00,-0.4917028,-0.5178294,-1.6962866,-1.6133747,-0.2927028,-0.6751125,-0.68330216
2016-07-11 20:00:00,0.05225099,-0.039077394,-1.6819254,-1.6133747,0.22810209,-0.18913984,-0.16889358
2016-07-11 20:30:00,0.54655945,0.41357243,-1.6619782,-1.6133747,0.62499344,0.25370777,0.3189968
2016-07-11 21:00:00,0.79092205,0.67473495,-1.6377757,-1.6133747,0.8498539,0.5092138,0.60066307
2016-07-11 21:30:00,0.90537894,0.8015238,-1.6417651,-1.6133747,0.9641422,0.63325775,0.73740685
2016-07-11 22:00:00,0.6342629,0.50149524,-1.6625102,-1.6133747,0.7035204,0.3397261,0.41382277
2016-07-11 22:30:00,0.74280083,0.6128808,-1.6558611,-1.6133747,0.80061805,0.44869936,0.53395283
2016-07-11 23:00:00,1.1693894,1.0952324,-1.6239457,-1.6133747,1.2293912,0.93082345,1.061972
2016-07-11 23:30:00,1.3819095,1.3180193,-1.6199677,-1.6133747,1.442243,1.1660191,1.3130895
2016-07-12 00:00:00,1.5454668,1.4884695,-1.6194826,-1.6133747,1.6058923,1.3459634,1.5042332
2016-07-12 00:30:00,1.7015253,1.6493887,-1.6223499,-1.6133747,1.7617606,1.5158452,1.6846889
2016-07-12 01:00:00,1.821261,1.7751235,-1.619806,-1.6133748,1.881718,1.6485838,1.8256887
2016-07-12 01:30:00,1.8932897,1.8596791,-1.6054139,-1.6133751,1.955324,1.7378489,1.9205095
2016-07-12 02:00:00,1.9411703,1.9104568,-1.6060607,-1.6133747,2.0044997,1.7914542,1.9774517
2016-07-12 02:30:00,1.9757363,1.9470896,-1.6081629,-1.6133748,2.040852,1.8301283,2.0185328
2016-07-12 03:00:00,1.9751855,1.9524482,-1.5978135,-1.6133747,2.0404646,1.8357855,2.0245419
2016-07-12 03:30:00,1.98884,1.9783884,-1.5787318,-1.6133769,2.0551944,1.8631705,2.0529685
2016-07-12 04:00:00,1.9568056,1.957126,-1.558518,-1.613399,2.023928,1.8407303,2.0296917
2016-07-12 04:30:00,1.9165412,1.92684,-1.5412152,-1.6133752,1.9855419,1.808751,1.9958247
2016-07-12 05:00:00,1.8623677,1.878611,-1.529087,-1.6133748,1.9326707,1.7578348,1.9417397
2016-07-12 05:30:00,1.7848476,1.8031696,-1.5213249,-1.6133825,1.85597,1.6781937,1.8571392
2016-07-12 06:00:00,1.6509825,1.6657723,-1.5185758,-1.6133747,1.7223743,1.5331417,1.7030617
2016-07-12 06:30:00,1.5072716,1.5158571,-1.5192226,-1.6133747,1.5785583,1.3748761,1.5349458
2016-07-12 07:00:00,1.1574074,1.1544651,-1.5137244,-1.6133763,1.2280928,0.99335515,1.129659
2016-07-12 07:30:00,0.871384,0.8440634,-1.5163118,-1.6133747,0.93937886,0.6748761,0.783286
2016-07-12 08:00:00,0.66765463,0.6147765,-1.5143713,-1.6133747,0.73400843,0.45055425,0.5359975
2016-07-12 08:30:00,0.095776685,0.027990466,-1.5276315,-1.6133747,0.20008337,-0.12352442,-0.09685706
2016-07-12 09:00:00,-0.036829583,-0.095480554,-1.5405682,-1.6133747,0.09340907,-0.24432194,-0.22730458
2016-07-12 09:30:00,-0.1548121,-0.1968782,-1.536849,-1.6133747,-0.0099433595,-0.34865808,-0.33774555
2016-07-12 10:00:00,-0.69830036,-0.6876193,-1.5486537,-1.6133747,-0.50260854,-0.8378764,-0.8644528
2016-07-12 10:30:00,-1.4330105,-1.5142684,-1.5536667,-1.6133748,-1.3548993,-1.5519965,-1.6448013
2016-07-12 11:00:00,-2.2483206,-2.4425085,-1.569676,-1.6133747,-2.3853018,-2.145752,-2.505903
2016-07-12 11:30:00,-2.5019443,-2.722956,-1.5853618,-1.6133747,-2.669344,-2.341139,-2.7254038
2016-07-12 12:00:00,-3.8381276,-3.818303,-1.6060607,-1.6133747,-3.7716212,-3.4196997,-3.6403148
2016-07-12 12:30:00,-3.7684312,-3.7595143,-1.6327225,-1.6133747,-3.717952,-3.3669093,-3.607878
2016-07-12 13:00:00,-3.8820662,-3.904128,-1.6768721,-1.6133747,-3.8665226,-3.483885,-3.6882348
2016-07-12 13:30:00,-4.4186864,-4.610201,-1.7574489,-1.6133786,-4.6835256,-4.273557,-4.318193
2016-07-12 14:00:00,-5.3507824,-5.770412,-1.9506288,-1.6134707,-5.873347,-5.685509,-5.738367
2016-07-12 14:30:00,-4.7511916,-5.063848,-1.9479598,-1.613786,-5.121357,-4.9232926,-4.852276
2016-07-12 15:00:00,-4.266509,-4.379318,-1.8620336,-1.6133747,-4.5308113,-4.026688,-4.104245
2016-07-12 15:30:00,-4.6077876,-4.8735075,-1.9260212,-1.6133747,-4.9387207,-4.656353,-4.6385007
2016-07-12 16:00:00,-4.809016,-5.1523438,-2.0265582,-1.6133747,-5.207843,-5.008678,-4.9516673
2016-07-12 16:30:00,-5.4290967,-5.8657427,-2.0861828,-1.6133747,-5.9722548,-5.80187,-5.8794184
2016-07-12 17:00:00,-5.208451,-5.658079,-2.1766622,-1.6133807,-5.74093,-5.5424957,-5.572162
2016-07-12 17:30:00,-5.256994,-5.706062,-2.1733265,-1.6133776,-5.8013816,-5.603571,-5.643156
2016-07-12 18:00:00,-5.52287,-5.9904003,-2.3110065,-1.6136388,-6.0987926,-5.92855,-6.063859
2016-07-12 18:30:00,-5.122392,-5.600549,-2.3686604,-1.6133747,-5.673755,-5.4692636,-5.4870415
2016-07-12 19:00:00,-4.3942337,-4.6501174,-2.252548,-1.6133747,-4.732819,-4.331585,-4.36743
2016-07-12 19:30:00,-4.2204747,-4.382676,-2.2667246,-1.6133747,-4.513645,-4.030341,-4.1072817
2016-07-12 20:00:00,-4.524268,-4.85464,-2.4242177,-1.613504,-4.9338536,-4.6290126,-4.6173105
2016-07-12 20:30:00,-4.2652726,-4.4874463,-2.3822877,-1.6134833,-4.6059523,-4.143945,-4.202027
2016-07-12 21:00:00,-3.8440602,-4.0060987,-2.345599,-1.6137285,-4.0152946,-3.5894163,-3.766738
2016-07-12 21:30:00,-3.337824,-3.493789,-2.3078618,-1.7520065,-3.4661002,-3.2291381,-3.4347498
2016-07-12 22:00:00,-2.2766683,-2.619949,-2.1754115,-1.7988863,-2.4307075,-2.4207067,-2.6438193
2016-07-12 22:30:00,-1.2371542,-1.4796457,-2.093271,-1.7511742,-1.2731056,-1.4851916,-1.6143855
2016-07-12 23:00:00,0.59801257,0.3711511,-1.8324013,-1.8167286,0.61869895,0.26665223,0.27324498
2016-07-12 23:30:00,0.9408215,0.69845736,-1.7278166,-1.8499346,0.8947998,0.59491026,0.62624824
2016-07-13 00:00:00,1.5037056,1.370202,-1.6696912,-1.8454094,1.5086972,1.2823783,1.3716072
2016-07-13 00:30:00,1.5348419,1.4047927,-1.6720848,-1.7685403,1.5427395,1.2991709,1.4103979
2016-07-13 01:00:00,1.7340564,1.657998,-1.6622442,-1.6305457,1.7830244,1.5295316,1.6943432
2016-07-13 01:30:00,1.8380743,1.7842604,-1.6305947,-1.6206428,1.8941394,1.660175,1.8359345
2016-07-13 02:00:00,1.9184138,1.8698915,-1.6407013,-1.6143559,1.9797744,1.7488927,1.9319621
2016-07-13 02:30:00,1.9566289,1.889526,-1.6797978,-1.7620902,2.01138,1.7911948,1.9539801
2016-07-13 03:00:00,1.9347025,1.8744816,-1.6409672,-1.6656368,1.9842747,1.7674698,1.9371096
2016-07-13 03:30:00,1.9531509,1.88577,-1.6962866,-2.638121,2.012097,1.8379668,1.9497689
2016-07-13 04:00:00,2.014703,1.8651918,-1.8661008,-2.5837781,2.0187104,1.9015518,1.9266917
2016-07-13 04:30:00,1.908429,1.8163251,-1.80335,-1.9642471,1.96237,1.7202014,1.8718926
2016-07-13 05:00:00,1.8208569,1.7106644,-1.8312392,-1.8074039,1.8649191,1.6164368,1.7534033
2016-07-13 05:30:00,1.7071627,1.586203,-1.8085792,-2.6726274,1.7418581,1.5378679,1.6138321
2016-07-13 06:00:00,1.5406431,1.3948001,-1.8114843,-2.7801497,1.5582341,1.3655521,1.3991917
2016-07-13 06:30:00,1.1055664,0.8798729,-1.9965235,-2.5306346,1.0954245,0.81772745,0.8219067
2016-07-13 07:00:00,0.5742544,0.3092972,-2.0870168,-2.5596778,0.6049551,0.41228878,0.20653498
2016-07-13 07:30:00,0.027194744,-0.3342924,-2.139136,-1.9314876,-0.08548414,-0.13919497,-0.48843563
2016-07-13 08:00:00,-2.3810565,-3.0493448,-2.3469965,-1.8030319,-2.9091303,-2.892972,-2.9975388
2016-07-13 08:30:00,-3.7844157,-4.079687,-2.353286,-1.983001,-4.108245,-4.0375786,-3.833285
2016-07-13 09:00:00,-4.613492,-4.5305247,-2.5594423,-1.7642788,-4.628805,-4.6689067,-4.240983
2016-07-13 09:30:00,-4.2194896,-4.293545,-2.7233188,-1.7595621,-4.308154,-4.309474,-4.026679
2016-07-13 10:00:00,-5.5692673,-4.877871,-2.9651155,-1.7603885,-4.9731617,-5.3928957,-4.643402
2016-07-13 10:30:00,-6.2066007,-5.1499047,-3.1524034,-1.8126504,-5.239603,-5.6703796,-4.9489284
2016-07-13 11:00:00,-6.575459,-5.5161343,-3.2544332,-1.8649124,-5.608639,-6.0176086,-5.3779197
2016-07-13 11:30:00,-6.894186,-5.785805,-3.3879106,-1.8034801,-5.9085584,-6.3729644,-5.7611427
2016-07-13 12:00:00,-6.9831834,-5.88518,-3.5605226,-1.8010803,-6.009701,-6.500461,-5.908177
2016-07-13 12:30:00,-7.0713916,-6.247605,-3.588476,-2.1025252,-6.3710136,-6.7645206,-6.444415
2016-07-13 13:00:00,-7.065179,-6.1560245,-3.6762202,-1.938411,-6.2809362,-6.744108,-6.3089137
2016-07-13 13:30:00,-7.375545,-6.297292,-3.8361416,-1.7838287,-6.4238772,-6.955953,-6.5179324
2016-07-13 14:00:00,-7.4097075,-6.444405,-3.9358165,-1.913017,-6.5718546,-7.048211,-6.735599
2016-07-13 14:30:00,-7.6349454,-6.577879,-4.045316,-1.8168231,-6.706497,-7.2263126,-6.9330845
2016-07-13 15:00:00,-7.588966,-6.5895705,-4.168609,-1.8767782,-6.7200646,-7.2116666,-6.9503827
2016-07-13 15:30:00,-7.5348797,-6.5228333,-4.275294,-1.8284881,-6.655262,-7.165251,-6.8516397
2016-07-13 16:00:00,-7.489769,-6.4921446,-4.3836675,-1.8273704,-6.626387,-7.1345778,-6.806232
2016-07-13 16:30:00,-7.3507,-6.37231,-4.4652996,-1.8336358,-6.5083103,-7.010107,-6.6289277
2016-07-13 17:00:00,-7.2540646,-6.2364006,-4.513716,-1.8122599,-6.3737054,-6.881537,-6.4278374
2016-07-13 17:30:00,-6.745121,-6.0892878,-4.61843,-2.077967,-6.22882,-6.6146016,-6.210171
2016-07-13 18:00:00,-5.8750944,-5.9071007,-4.6857066,-2.756676,-6.048418,-6.1243205,-5.94061
2016-07-13 18:30:00,-5.182984,-5.7146845,-4.6550245,-2.1483872,-5.840274,-5.7212567,-5.6559134
2016-07-13 19:00:00,-4.441022,-5.267279,-4.637853,-1.6929203,-5.337868,-5.1432824,-5.080754
2016-07-13 19:30:00,-4.1747394,-4.9462805,-4.7712793,-1.7420969,-4.8721037,-4.8476844,-4.7202344
2016-07-13 20:00:00,-3.2841954,-4.489077,-4.7814136,-1.6133748,-4.0943093,-4.1454573,-4.203501
2016-07-13 20:30:00,-2.840295,-4.262939,-4.6904917,-1.6133747,-3.8174114,-3.8991208,-3.9990017
2016-07-13 21:00:00,-1.6636946,-3.4923782,-4.4568553,-1.6133747,-2.6419022,-3.0989413,-3.4335837
2016-07-13 21:30:00,-2.3470836,-3.9109411,-4.3693113,-1.6133747,-3.3225968,-3.4901414,-3.6929057
2016-07-13 22:00:00,-0.17748094,-1.9466289,-4.271916,-1.6133747,-1.0087128,-1.8753829,-2.0554354
2016-07-13 22:30:00,0.69538033,-0.4336604,-3.9434166,-1.6133747,0.041921385,-0.5939623,-0.5974039
2016-07-13 23:00:00,1.0389053,0.27943647,-3.6422863,-1.6133752,0.7063042,0.12247635,0.17432988
2016-07-13 23:30:00,0.77966464,0.22327006,-3.385115,-1.6964203,0.60404575,0.089761145,0.1137538
2016-07-14 00:00:00,1.0357641,0.5654825,-3.3253648,-1.7347668,0.93416727,0.4348303,0.4828335
2016-07-14 00:30:00,1.6067351,1.289095,-3.132137,-1.815683,1.7119342,1.1896516,1.2806534
2016-07-14 01:00:00,1.9297708,1.6276678,-2.9151487,-2.0052748,2.023161,1.5328163,1.6603309
2016-07-14 01:30:00,2.0120397,1.7644936,-2.7278612,-2.2901204,2.1083367,1.6863681,1.813768
2016-07-14 02:00:00,2.0612996,1.842307,-2.636314,-2.4867954,2.1604838,1.7813164,1.9010285
2016-07-14 02:30:00,2.0654874,1.8565603,-2.5975287,-2.6805208,2.1645813,1.8119785,1.9170123
2016-07-14 03:00:00,2.0491405,1.8525196,-2.5339348,-2.781582,2.1449406,1.8241361,1.9124805
2016-07-14 03:30:00,1.9946033,1.7995015,-2.4927034,-2.7762542,2.0837438,1.7867583,1.8530267
2016-07-14 04:00:00,1.9382452,1.7222599,-2.5528033,-2.7323852,2.024355,1.7248791,1.7664071
2016-07-14 04:30:00,1.7715937,1.5418605,-2.3665638,-2.6571932,1.8047401,1.5586625,1.5641066
2016-07-14 05:00:00,1.4950296,1.2290934,-2.2421243,-2.582001,1.4755832,1.3107501,1.2133676
