,Key,Level,MAE,Model,R2
0,1_0,1,0.0704973003068002,H,0.3054986843799957
1,1_0,1,0.06991901010212725,H,0.3091692625842305
2,1_0,1,0.06954583913110303,H,0.34265451325232854
3,1_0,1,0.06917123050611497,H,0.3209448788953837
4,1_0,1,0.07048546659347758,H,0.22596502257976525
5,1_0,1,0.0695985345632154,H,0.2726992346435392
6,1_0,1,0.07021671769051889,H,0.30348136770577083
7,1_0,1,0.0698664525820051,H,0.2789636095693466
8,1_0,1,0.07069933999434798,H,0.275748342277666
9,1_0,1,0.07017986272362782,H,0.3068407064265253
10,1_0,1,0.07090161376528195,H,0.24073619832598459
11,1_0,1,0.06996834011585296,H,0.31612964824431333
12,1_0,1,0.07053059471520969,H,0.3197258583756599
13,1_0,1,0.07046467035176487,H,0.29590428914113265
14,1_0,1,0.0701199927356795,H,0.30562771765116203
15,1_0,1,0.0699927565667852,H,0.3027426814572054
16,1_0,1,0.07047944421792658,H,0.2962015504900073
17,1_0,1,0.07056390002567006,H,0.2929000586435766
18,1_0,1,0.07086608358419508,H,0.3003249237944057
19,1_0,1,0.07072746270924327,H,0.23180397975802436
20,1_0,1,0.0701030946683016,H,0.33024085582354645
21,1_0,1,0.07036223375098724,H,0.31776324173131654
22,1_0,1,0.06971649195272167,H,0.3055735682761933
23,1_0,1,0.0698129933404255,H,0.31939817108296076
24,1_0,1,0.06941306262102287,H,0.30390280557083205
25,1_0,1,0.07017882817176409,H,0.31725575816263796
26,1_0,1,0.07057892013823171,H,0.28360725289606836
27,1_0,1,0.0700266911264711,H,0.2871166663975093
28,1_0,1,0.0700398468389486,H,0.31052210205725694
29,1_0,1,0.07026426596396343,H,0.2641828004037805
30,1_1,1,0.12454838059264238,Wind Spd,-42.017173183644786
31,1_1,1,0.12422296037319118,Wind Spd,-28.61268427307056
32,1_1,1,0.12417763098752128,Wind Spd,-35.758773696682425
33,1_1,1,0.12422464702794331,Wind Spd,-33.98362342862741
34,1_1,1,0.12435425093634056,Wind Spd,-38.74752671540242
35,1_1,1,0.1240270269146372,Wind Spd,-33.00401925544507
36,1_1,1,0.12461866891799671,Wind Spd,-37.71521881138989
37,1_1,1,0.12480839278160313,Wind Spd,-44.194445350527495
38,1_1,1,0.12446389670697043,Wind Spd,-35.86123776112046
39,1_1,1,0.12405372836841912,Wind Spd,-32.023264784431845
40,1_1,1,0.12399242077460527,Wind Spd,-30.339335117966247
41,1_1,1,0.12459413465880682,Wind Spd,-46.75977570116312
42,1_1,1,0.12459993380451577,Wind Spd,-41.78330278532766
43,1_1,1,0.1240496636500178,Wind Spd,-32.38043973017114
44,1_1,1,0.12423246407093483,Wind Spd,-29.47632165501039
45,1_1,1,0.12433031317455696,Wind Spd,-38.65781702698141
46,1_1,1,0.12419107015589943,Wind Spd,-29.8749848473644
47,1_1,1,0.12433361148125811,Wind Spd,-41.476253561568846
48,1_1,1,0.12393162520547081,Wind Spd,-35.17277272159961
49,1_1,1,0.12444181835553793,Wind Spd,-37.73669705235538
50,1_1,1,0.12439680468085224,Wind Spd,-32.61435477549518
51,1_1,1,0.12422783587021426,Wind Spd,-36.962757372589515
52,1_1,1,0.12435333477124595,Wind Spd,-31.988710698535463
53,1_1,1,0.124343937756822,Wind Spd,-35.59489375293602
54,1_1,1,0.12403443459479105,Wind Spd,-29.39470217402737
55,1_1,1,0.12436247570653448,Wind Spd,-35.864692063781874
56,1_1,1,0.12441085847796875,Wind Spd,-33.12336047255607
57,1_1,1,0.12420390102125058,Wind Spd,-39.124428513924386
58,1_1,1,0.12363135764480916,Wind Spd,-25.88901696473288
59,1_1,1,0.12380195438459023,Wind Spd,-26.89698242604731
60,1_2,1,0.12093120791894367,air pressure,-11.44603976095472
61,1_2,1,0.12062151132701339,air pressure,-10.856257601518054
62,1_2,1,0.12080294979936602,air pressure,-11.503834567298261
63,1_2,1,0.12125759068081005,air pressure,-12.515499226863668
64,1_2,1,0.12100329754632881,air pressure,-12.27199365102093
65,1_2,1,0.12087395469230583,air pressure,-10.471097230862014
66,1_2,1,0.12096425394541742,air pressure,-12.38689072745039
67,1_2,1,0.1200803916570899,air pressure,-9.876767172853603
68,1_2,1,0.12095770738846781,air pressure,-13.27248234617565
69,1_2,1,0.12102925929924362,air pressure,-13.501601305848663
70,1_2,1,0.1210051799539124,air pressure,-11.836024283724852
71,1_2,1,0.12131801071590903,air pressure,-14.124934070206391
72,1_2,1,0.12103909450063373,air pressure,-13.234642436082071
73,1_2,1,0.1206143487190721,air pressure,-10.243187470900583
74,1_2,1,0.12095576637369564,air pressure,-11.913889066589128
75,1_2,1,0.12105707679516794,air pressure,-11.916511246473158
76,1_2,1,0.12102212918588783,air pressure,-12.422519788200592
77,1_2,1,0.12109079540559912,air pressure,-12.820697619440597
78,1_2,1,0.12107298070646573,air pressure,-13.441509530504838
79,1_2,1,0.12079999651798869,air pressure,-12.078151804651654
80,1_2,1,0.12056672159713676,air pressure,-11.261711018770988
81,1_2,1,0.12088812971991471,air pressure,-10.78291642372317
82,1_2,1,0.12081527783852986,air pressure,-11.245981016584349
83,1_2,1,0.12009992352502823,air pressure,-10.496535037795713
84,1_2,1,0.12088982681757929,air pressure,-11.789529435030083
85,1_2,1,0.12067620415813449,air pressure,-11.807756994342906
86,1_2,1,0.12047257592740764,air pressure,-10.4529870483871
87,1_2,1,0.12093870363957407,air pressure,-11.929279505149015
88,1_2,1,0.1207729694605211,air pressure,-11.742769712645426
89,1_2,1,0.12085680797082356,air pressure,-11.014550775280416
