,Model,Size,Nodes,MSE,RMSE,SE,r2,Performance,K,Thresh,Remove
21_43,AirTC_Avg+VPD+u*+wind_speed+air_pressure+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+VWC_1+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+Collapse+Polygon+Rim+Daytime,21,43,36.030447560262836,6.002536760425781,0.6087000868639701,0.7765643877505315,0,30,36.639147647126805,N/A
9_43,VPD+u*+wind_speed+NR_Wm2_Avg+Table_1+Active_Layer_1+Temp_15_1+Temp_15_2+Daytime,9,43,41.778270092396376,6.463611226891387,0.6916725208112262,0.7409204162339262,0,30,42.4699426132076,N/A
