,Model,Size,Nodes,MSE,RMSE,SE,r2,Performance,K,Thresh,Remove
21_75,AirTC_Avg+VPD+u*+wind_speed+air_pressure+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+VWC_1+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+Collapse+Polygon+Rim+Daytime,21,75,0.0946742318660799,0.3076917806280823,0.002123435884561686,0.9575016445305564,0,30,0.09679766775064158,N/A
10_75,VPD+u*+wind_speed+NR_Wm2_Avg+PPFD_Avg+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2+Daytime,10,75,0.12856658993405468,0.3585618355793805,0.001879892338649618,0.9422876897671535,0,30,0.1304464822727043,N/A
