,val_loss,loss
0,-28.944080352988735,
1,-27.960444161501425,-12.513027906417847
2,-28.297236141665227,-21.03717835744222
3,-29.000931915846365,-25.73497094048394
4,-29.856308369698194,-30.223369386461044
5,-30.56705893555592,-35.48335414462619
6,-31.31227206567238,-39.40031178792318
7,-32.195200402263936,-42.40979894002279
8,-33.06989086455312,-45.03247367011176
9,-33.916572339575865,-47.527136908637154
10,-34.6004887441109,-49.83673095703125
11,-35.27964819695415,-52.09584723578559
12,-35.738130394908886,-54.23297203911675
13,-36.38098196531164,-56.29285769992404
14,-37.30263283268131,-58.17658699883355
15,-37.831875717845456,-59.92043813069662
16,-38.63870213807657,-61.411598205566406
17,-39.51979960362459,-62.777925703260635
18,-40.41144712094603,-63.91916868421767
19,-41.42700243268548,-64.91254636976454
20,-42.639024711991176,-65.78739759657118
21,-44.08634600757525,-66.59700012207031
22,-45.558400032078396,-67.28393597073025
23,-46.96730113569005,-67.9200931125217
24,-48.38070593856532,-68.48726399739583
25,-49.75996489154881,-68.99728902180989
26,-51.07566622012648,-69.4446784125434
27,-52.450371023704264,-69.84058973524306
28,-53.776938250969195,-70.18145667182074
29,-54.861783837861026,-70.48988681369357
30,-55.88017702873411,-70.76214260525174
31,-56.82035846216925,-71.0083491007487
32,-57.803618971335474,-71.23232523600261
33,-58.927132067598144,-71.43502044677734
34,-59.807423598704666,-71.61332617865668
35,-60.724363881452334,-71.74617852105035
36,-61.718306785821916,-71.86486307779948
37,-62.55845431952641,-71.9746831258138
38,-63.15057361742546,-72.07487063937717
39,-63.98294642177122,-72.16914876302083
40,-64.73049509340319,-72.25331115722656
41,-65.3443140819155,-72.33187866210938
42,-65.9203543638361,-72.40489874945746
43,-66.42971774627422,-72.47531212700738
44,-66.92871747448527,-72.53398301866319
45,-67.58719494425017,-72.58711920844183
46,-68.03467333768977,-72.63900841606988
47,-68.49255419928453,-72.68286980523004
48,-68.83369480618116,-72.72800021701389
49,-69.13550141844256,-72.76109144422743
50,-69.54819736234073,-72.79432423909505
51,-69.88770671199109,-72.8224343193902
52,-70.2825156137861,-72.84817165798611
53,-70.47867260842487,-72.87747531467014
54,-70.50413764797408,-72.89113362630208
55,-70.6821329034608,-72.91585625542535
56,-70.92677726663392,-72.94009738498264
57,-71.1241201889926,-72.95508999294705
58,-71.20156158578807,-72.96897210015192
59,-71.10236798648177,-72.98561520046658
60,-71.27285859995875,-73.00484890407986
61,-71.41812295050457,-73.019044664171
62,-71.37724782022937,-73.03573523627387
63,-71.47139693950784,-73.04629601372613
64,-71.45517620444298,-73.0623270670573
65,-71.47490923671887,-73.07465701633029
66,-71.5110488807333,-73.08677164713542
67,-71.54425664133039,-73.09485710991754
68,-71.57190727180448,-73.107667711046
69,-71.59479858135354,-73.11666107177734
70,-71.61215796367875,-73.12830691867404
71,-71.65931243094904,-73.13691880967882
72,-71.63118030613866,-73.14562903510199
73,-71.69365941779367,-73.15629577636719
74,-71.82655580105452,-73.16527218288846
75,-71.84296380507534,-73.17303382025824
76,-71.74629416630187,-73.18374718560113
77,-71.71486470555438,-73.19237687852647
78,-71.77927366597899,-73.19889068603516
79,-71.9301804143807,-73.20882839626736
80,-71.90480936888991,-73.2199469672309
81,-71.91522351934992,-73.22710588243272
82,-71.77168943183176,-73.21764797634549
83,-71.9475503489889,-73.24595218234592
84,-72.00527488404308,-73.24760352240668
85,-71.95231484215834,-73.25221676296658
86,-71.99709827612186,-73.26050143771701
87,-72.06397975683213,-73.267576429579
88,-72.08616659517946,-73.27280934651692
89,-72.0721019566059,-73.27733442518446
90,-72.0190648428325,-73.27508375379774
91,-72.10056655324739,-73.28692287868924
92,-72.26984002384646,-73.29132758246527
93,-72.26537081352596,-73.29750315348308
94,-72.13254245231892,-73.28947194417317
95,-72.23164958809984,-73.3073467678494
96,-72.35118979174516,-73.30853271484375
97,-72.298182287915,-73.31722683376736
98,-72.16333032003764,-73.3248757256402
99,-72.27143316618327,-73.32718488905165
100,-72.36947856319362,-73.33055623372395
101,-72.25865950214451,-73.33848826090495
102,-72.3723004450058,-73.34241570366754
103,-72.4043534034285,-73.35259162055121
104,-72.33260597052245,-73.33816782633464
105,-72.43139108892144,-73.36190541585286
106,-72.47618729451607,-73.36582438151042
107,-72.51616605458588,-73.36868709988065
108,-72.41732681064771,-73.37094370524089
109,-72.45370004444287,-73.37906561957465
110,-72.53345756407441,-73.37002733018663
111,-72.45571699923482,-73.38725026448567
112,-72.47837125905629,-73.39010874430339
113,-72.45498878688647,-73.39409298366971
114,-72.6192401117292,-73.39916483561198
115,-72.57900115046007,-73.40790303548177
116,-72.57348682222695,-73.41620551215277
117,-72.60765901968396,-73.41966501871745
118,-72.56609068122404,-73.4224853515625
119,-72.6312719550626,-73.4320297241211
120,-72.72470823053656,-73.42704603407118
121,-72.6262502094795,-73.43684556749132
122,-72.65484000095006,-73.44024064805772
123,-72.64393915246274,-73.44764455159505
124,-72.72510065128063,-73.45261976453993
125,-72.74436901088418,-73.45003339979384
126,-72.67313271206001,-73.45835452609592
127,-72.6581029108886,-73.46443515353732
128,-72.66410695293854,-73.46581946478949
129,-72.73977396570403,-73.4760513305664
130,-72.75753758323604,-73.48184288872613
