,val_loss,loss
0,-21.117433870456132,
1,-18.037022172157982,26.076885594262016
2,-17.19038646166543,-2.4707563718159995
3,-17.304020388133498,-13.886508027712503
4,-17.9325841086438,-20.97291194068061
5,-18.782300850190964,-26.758957227071125
6,-19.58203659363952,-34.12815369500054
7,-19.976206469108384,-44.57448069254557
8,-20.419536692450247,-52.90856001112196
9,-20.910746553623344,-57.893963707817925
10,-21.53427096304903,-61.235672844780815
11,-22.211010623381906,-63.574082692464195
12,-22.852831671318686,-65.41906017727322
13,-23.44562721578961,-67.2544699774848
14,-23.81990910081037,-69.23120201958551
15,-23.95196443914892,-71.15410529242621
16,-24.132664380795454,-72.7860107421875
17,-24.67554914559501,-73.76136271158855
18,-25.30377731356488,-74.49562157524957
19,-25.979993753996027,-75.20853508843317
20,-26.69142843147673,-75.92755126953125
21,-27.317097486609008,-76.64414469401042
22,-27.916130190945243,-77.29489644368489
23,-28.56551719637981,-77.91526963975694
24,-29.253914000562936,-78.51098887125652
25,-29.983953811257958,-79.10010274251302
26,-30.792064172041368,-79.66322157118056
27,-31.656598988519722,-80.19795566134982
28,-32.52653272616198,-80.71862284342448
29,-33.41335130200918,-81.23385026719835
30,-34.29912865779314,-81.75536431206598
31,-35.14605534183551,-82.27707163492839
32,-36.04168458882556,-82.78341081407335
33,-36.903801665600554,-83.29986233181424
34,-37.72465919237213,-83.80255550808377
35,-38.56249667911891,-84.29645877414279
36,-39.381917690138415,-84.78854370117188
37,-40.225553188428464,-85.26631927490234
38,-41.027595229120365,-85.73418426513672
39,-41.83684888921411,-86.18463049994574
40,-42.61818724075162,-86.62472364637587
41,-43.38198679448124,-87.04991488986545
42,-44.1685420885029,-87.46686130099826
43,-44.936050022740766,-87.87022230360243
44,-45.70563604228525,-88.25750478108723
45,-46.42005284362105,-88.64611138237848
46,-47.14163562702942,-89.01701778835721
47,-47.862440048223476,-89.38342793782552
48,-48.57435680456845,-89.73272535536024
49,-49.25020829686131,-90.07618459065755
50,-49.88100590672626,-90.39674038357205
51,-50.510758911589704,-90.69014824761285
