,val_loss,loss
0,-20.899763108121938,
1,-28.958209922395902,39.108809259202744
2,-31.896371547518104,13.567797859509787
3,-33.655747974329984,1.9683813518948026
4,-35.07890344940383,-6.375457021925184
5,-36.17560573775193,-12.955405738618639
6,-37.5092852362271,-18.473815335167778
7,-39.01137456154001,-26.06815497080485
8,-40.47256134953992,-33.18104977077908
9,-41.74307580898548,-38.825773662991
10,-42.7348891426777,-43.21222898695204
11,-43.4839132958445,-46.23406685723199
12,-44.143395368806246,-48.80642573038737
13,-44.75257986002955,-50.94129986233182
14,-45.29880437604312,-52.71342976888021
15,-45.80053254407028,-54.234415690104164
16,-46.29759348672012,-55.48117234971788
17,-46.80569744438961,-56.57598876953125
18,-47.29420395925127,-57.44416936238607
19,-47.774236509717745,-58.181641048855255
20,-48.24100744313207,-58.870332929823135
21,-48.71302292511381,-59.50001737806532
22,-49.161107252384056,-60.04524951510959
23,-49.60896443991825,-60.569581773546005
24,-50.0622884446177,-61.0339609781901
25,-50.498854314869845,-61.48641120062934
26,-50.93617103223143,-61.89229202270508
27,-51.376954721582344,-62.27894719441732
28,-51.8108103521939,-62.66418965657552
29,-52.24637886737955,-63.02052985297309
30,-52.66812365712791,-63.37259419759115
31,-53.10129114800486,-63.6952993604872
32,-53.531871894310264,-64.02185312906902
33,-53.96519956095465,-64.3279202779134
34,-54.367523711303186,-64.63431294759114
35,-54.80261654196114,-64.92465379503038
36,-55.22449387065296,-65.21351030137804
37,-55.63131994214551,-65.48998811509874
38,-56.035308497938615,-65.75966601901584
39,-56.4179011328467,-66.02149793836806
40,-56.73684038293773,-66.26454162597656
41,-57.02524480943022,-66.47568554348416
42,-57.330519874342556,-66.67984135945638
43,-57.64559539145437,-66.87837515936957
44,-57.94208875277947,-67.07817374335394
45,-58.25752781876202,-67.26078838772244
46,-58.54899691959907,-67.44978290134006
47,-58.84219106723522,-67.62661234537761
48,-59.137183033186815,-67.80188624064128
49,-59.40120331665565,-67.97346878051758
50,-59.663534921613234,-68.12969377305772
51,-59.89692195982769,-68.28215620252821
52,-60.10849251336065,-68.4257549709744
53,-60.32193500009076,-68.55759726630316
54,-60.49941206718313,-68.68992784288194
55,-60.6836868725974,-68.8106558057997
56,-60.86309803231009,-68.93151389227972
57,-61.042661090554866,-69.04023318820529
58,-61.21504856553571,-69.15167448255751
59,-61.37867640791268,-69.26142035590277
60,-61.5444311396829,-69.36368052164714
61,-61.66563286616884,-69.45816718207465
62,-61.77013165293069,-69.52888997395833
63,-61.86628784557869,-69.59370252821181
64,-61.96727572843946,-69.65882788764105
65,-62.065558685927556,-69.7213151719835
66,-62.159204476044096,-69.7812762790256
67,-62.251069299928076,-69.8400124443902
68,-62.34025941552787,-69.89815606011285
69,-62.42245339442944,-69.95643870035808
70,-62.49856126308441,-70.00912814670139
