,val_loss,loss
0,-50.63753995646637,
1,-49.10312409218089,43.14274999830458
2,-48.928455870257196,28.73149299621582
3,-49.25211200901712,19.289582358466255
4,-49.77006409468641,10.677349613772499
5,-50.32871793352987,-1.5157254801856146
6,-51.1280348479629,-15.716644896401299
7,-52.026574658860724,-24.529003567165798
8,-52.87104022164506,-28.308977339002823
9,-53.64933026872902,-30.192963706122505
10,-54.29456890030092,-31.14948272705078
11,-54.99333667701696,-31.785470326741535
12,-55.78603360561498,-32.34529007805718
13,-56.60817777024085,-32.819419860839844
14,-57.460942975464334,-33.25826093885634
15,-58.35318989956759,-33.671083238389755
16,-59.23642936354852,-34.06652514139811
17,-60.20833749778242,-34.475548850165474
18,-61.21335933318888,-34.83586014641656
19,-62.23816534300962,-35.18065622117784
20,-63.273124042200855,-35.517183515760635
21,-64.31733893380459,-35.85094176398383
22,-65.39554023184624,-36.16815588209364
23,-66.52238284959736,-36.45199012756348
24,-67.64702129904255,-36.720893436008026
25,-68.6915128322474,-36.96994590759277
26,-69.64785369114571,-37.21682018703885
27,-70.50317233575292,-37.444909201727974
28,-71.38129392664034,-37.67992846171061
29,-72.25277455673512,-37.908592224121094
30,-73.08830354876252,-38.12915250990126
31,-73.88171851076928,-38.3465707567003
32,-74.72953542212092,-38.55749151441786
33,-75.58614434770854,-38.765984853108726
34,-76.3867400736804,-38.98119078742133
35,-77.15321567393394,-39.180152045355904
36,-77.97546137477535,-39.38248634338379
37,-78.77874727481864,-39.58063973320855
38,-79.53140029453661,-39.77787950303819
39,-80.32615241343044,-39.96970325046115
40,-81.0376026683832,-40.160524156358505
41,-81.74768490305698,-40.343697441948784
42,-82.40642700347293,-40.51948716905382
43,-83.1070860581569,-40.692863040500214
44,-83.76025819208517,-40.86408445570204
45,-84.42122682276,-41.03410720825195
46,-85.04890362057553,-41.201994366116
47,-85.660584613384,-41.36798540751139
48,-86.29282854467749,-41.530013190375435
49,-86.9125946772051,-41.687683529324005
50,-87.49086199219958,-41.84173478020562
51,-88.0376765127201,-41.99784639146593
52,-88.61295740870365,-42.1475632985433
53,-89.1795980507634,-42.297465006510414
54,-89.69901027218754,-42.442155838012695
55,-90.152347836124,-42.583008236355255
56,-90.55562204348139,-42.693275451660156
57,-90.96356969941185,-42.79789606730143
58,-91.34322581538166,-42.89829423692491
59,-91.70990249360226,-42.99988004896376
60,-92.07096316876165,-43.098434660169815
61,-92.39551772848068,-43.197005377875435
62,-92.73397097953287,-43.29343838161893
63,-93.06781909249693,-43.390669928656685
64,-93.38374071672143,-43.48540327284071
65,-93.6666971708674,-43.5803231133355
66,-93.95309602834314,-43.673895517985024
67,-94.25413081180527,-43.767657385932075
68,-94.57453466672821,-43.859698401557075
69,-94.8684098432026,-43.95567152235243
70,-95.0981103181839,-44.048682318793404
71,-95.36495532398204,-44.1448131137424
72,-95.63819135019028,-44.24115541246202
73,-95.92331998982277,-44.334934658474396
74,-96.19728555812304,-44.430912017822266
75,-96.44034534764005,-44.52904849582248
76,-96.70405970555377,-44.62481138441298
77,-96.92230822543699,-44.72056155734592
78,-97.19311995038473,-44.81526311238607
79,-97.43098173162852,-44.91407945421007
80,-97.63864449094017,-45.01645745171441
81,-97.86902865363783,-45.115261501736114
82,-98.1264810427964,-45.217500898573135
83,-98.36379577213549,-45.31431028578017
84,-98.60538890577882,-45.406649907430015
85,-98.89358766371035,-45.497752295600044
86,-99.13334935416738,-45.59368769327799
87,-99.39730669813328,-45.685935974121094
88,-99.61990957894173,-45.78166707356771
89,-99.85090179070534,-45.87493684556749
90,-100.10586173873973,-45.969305250379776
91,-100.31888948564985,-46.067152447170685
92,-100.54375671853582,-46.16158760918511
93,-100.77738590651299,-46.256162855360245
94,-100.9779282670572,-46.34132597181532
95,-101.18765795029017,-46.427764892578125
96,-101.36734060343518,-46.51189083523221
97,-101.56449371018257,-46.59617360432943
98,-101.73082467355576,-46.681863360934784
99,-101.9150820088339,-46.766012827555336
100,-102.10467398641593,-46.851607428656685
101,-102.31636424190495,-46.93854268391927
102,-102.50647284333924,-47.02430216471354
103,-102.69380029667896,-47.111490885416664
104,-102.86966046880916,-47.19911109076606
105,-103.0453459372321,-47.28624513414171
106,-103.2417465968436,-47.37425740559896
