,Model,MSE,Size,Number,SE,Performance,T,T2
93,wind_speed+VPD+Temp+VWC+Sedge,0.2069102075212513,5,18,0.033865487703714815,0,1.8111488641970832,-1.6949778246331062
94,wind_speed+VPD+VWC+Sedge+Shrub,0.21179290483522412,5,19,0.037344008865544426,0,2.294049289257467,-1.103962735721811
95,wind_speed+VPD+VWC+Sedge+Grass,0.20628007091069073,5,20,0.02583373118466218,1,2.0299621402462833,-1.9645172871784444
96,wind_speed+VPD+VWC+Sedge+Upland,0.21556516915246562,5,21,0.03766203144248447,0,2.740668917944254,-0.7051823735901847
97,wind_speed+Temp+VWC+Sedge+Shrub,0.20514886368412746,5,22,0.03616527129762191,2,1.5118562949123144,-1.8302262493598196
98,wind_speed+Temp+VWC+Sedge+Grass,0.20116545903036145,5,23,0.04281299608292944,2,0.8959929632932878,-2.059364027268213
99,wind_speed+Temp+VWC+Sedge+Upland,0.21368896957295408,5,24,0.03276698326005143,0,2.7587770481776985,-0.9635498667449487
100,wind_speed+VWC+Sedge+Shrub+Grass,0.22243111570155663,5,25,0.035374590523436625,0,3.736570261649133,0.01228924715656222
101,wind_speed+VWC+Sedge+Grass+Upland,0.21909636701417654,5,26,0.04152008460029931,0,2.955408322667711,-0.3191204976999511
102,(z-d)/L+PPFD_Avg+AirTC_Avg+VWC+Sedge,0.23337617006066114,5,27,0.025198115048151466,0,6.284891497547269,1.365853009826316
103,(z-d)/L+PPFD_Avg+Temp+VWC+Sedge,0.22055723481087766,5,28,0.02989525237800292,0,3.89488478829182,-0.20432281581951
104,(z-d)/L+PPFD_Avg+VWC+Sedge+Shrub,0.22265765788998254,5,29,0.031261708894036865,0,4.080050262605705,0.03881994168496273
105,(z-d)/L+PPFD_Avg+VWC+Sedge+Grass,0.2227496968302356,5,30,0.03501722663067092,0,3.8031257871482387,0.04685025733497028
106,(z-d)/L+PPFD_Avg+VWC+Sedge+Upland,0.2182679533164321,5,31,0.02880238226734432,0,3.649511623354307,-0.47704002086534747
107,(z-d)/L+AirTC_Avg+VPD+VWC+Sedge,0.23060635431909848,5,32,0.04028063604870573,0,4.360310502960605,0.8353073826494919
108,(z-d)/L+AirTC_Avg+Temp+VWC+Sedge,0.22381322360055356,5,33,0.0343995734092183,0,3.9867063386324664,0.16340002665664688
109,(z-d)/L+AirTC_Avg+VWC+Sedge+Shrub,0.22060617013094058,5,34,0.04089601176398648,0,3.1622978480887887,-0.17096840809925287
110,(z-d)/L+AirTC_Avg+VWC+Sedge+Grass,0.22121559771117102,5,35,0.03266589748428789,0,3.774851597083446,-0.12317819104154001
111,(z-d)/L+AirTC_Avg+VWC+Sedge+Upland,0.22484642020071563,5,36,0.02714762110062209,0,4.760563362401628,0.30458424191151573
112,(z-d)/L+VPD+Temp+VWC+Sedge,0.22250032402450695,5,37,0.03773994682306286,0,3.581577257750689,0.019117977460517264
113,(z-d)/L+VPD+VWC+Sedge+Shrub,0.22724838632605487,5,38,0.029955624103543292,0,4.838239109810153,0.5720740100251892
114,(z-d)/L+VPD+VWC+Sedge+Upland,0.23180549170601808,5,39,0.03572944799817687,0,4.897548530948328,1.0175741622424748
115,(z-d)/L+Temp+VWC+Sedge+Shrub,0.22081117106644832,5,40,0.035230574814598486,0,3.5399402173527443,-0.16260666836181953
116,(z-d)/L+Temp+VWC+Sedge+Grass,0.22301898223783348,5,41,0.035720091824256395,0,3.7863880895543414,0.07528440294763294
117,(z-d)/L+Temp+VWC+Sedge+Upland,0.21977797215966097,5,42,0.02901465104162625,0,3.8519542503740407,-0.2982943781287786
118,(z-d)/L+VWC+Sedge+Shrub+Grass,0.23016391700287211,5,43,0.033906984067361895,0,4.857215060153519,0.8627757996258787
119,(z-d)/L+VWC+Sedge+Shrub+Upland,0.22368898942959123,5,44,0.03711918442704213,0,3.7699777668047205,0.1443541845322837
120,(z-d)/L+VWC+Sedge+Grass+Upland,0.22366181359197992,5,45,0.03654267971670094,0,3.80779199724762,0.14261668355467014
121,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,0.2267002067061134,5,46,0.027804369259406297,0,4.9717594608241225,0.5232735696714703
122,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub,0.22293970315356887,5,47,0.038719875628744474,0,3.569549807779416,0.06409328724030293
123,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass,0.22600914856769475,5,48,0.034330076681937834,0,4.277503727225998,0.4036094466889846
124,PPFD_Avg+AirTC_Avg+VWC+Sedge+Upland,0.22932590755704427,5,49,0.03554703665238222,0,4.599772216659053,0.7535342693508691
125,PPFD_Avg+VPD+Temp+VWC+Sedge,0.22682202943085333,5,50,0.034024233755343955,0,4.4092008946794845,0.49453540781482447
126,PPFD_Avg+VPD+VWC+Sedge+Shrub,0.2304419608382658,5,51,0.040373306203531405,0,4.333907000978515,0.8177078003345025
127,PPFD_Avg+VPD+VWC+Sedge+Grass,0.2219565633449548,5,52,0.04829005184277397,0,2.920298896083671,-0.032622919120966404
128,PPFD_Avg+VPD+VWC+Sedge+Upland,0.2285535177050836,5,53,0.0356904340264182,0,4.4893865697865,0.66917734972152
129,PPFD_Avg+Temp+VWC+Sedge+Shrub,0.21791489103611086,5,54,0.037687627012591214,0,3.025899681599137,-0.4596118291405253
130,PPFD_Avg+Temp+VWC+Sedge+Grass,0.2179208270908399,5,55,0.030652057753267695,0,3.467983830019582,-0.5052421753281754
131,PPFD_Avg+Temp+VWC+Sedge+Upland,0.2192465630659764,5,56,0.033567724972451904,0,3.4491126838803003,-0.3391776298697938
132,PPFD_Avg+VWC+Sedge+Shrub+Grass,0.2311467059535459,5,57,0.04153607168525353,0,4.3242049943256,0.8746830300577416
133,PPFD_Avg+VWC+Sedge+Shrub+Upland,0.21819177389961528,5,58,0.03026989464259597,0,3.5327097550006705,-0.4765521226644757
134,PPFD_Avg+VWC+Sedge+Grass+Upland,0.21632129316719262,5,59,0.03512404739231917,0,2.9724168018130253,-0.6483646430105301
135,AirTC_Avg+VPD+Temp+VWC+Sedge,0.2207849494020448,5,60,0.03174756950408699,0,3.784909272509265,-0.1734897272454915
136,AirTC_Avg+Temp+VWC+Sedge+Shrub,0.21708247620666643,5,61,0.028702574583927106,0,3.4846157242471563,-0.6175251645592664
137,AirTC_Avg+Temp+VWC+Sedge+Grass,0.2226587088905174,5,62,0.03459504923744272,0,3.822386631289427,0.037211095233292614
138,AirTC_Avg+Temp+VWC+Sedge+Upland,0.22156986259612377,5,63,0.036747644647391095,0,3.5334277743553866,-0.07902440079109961
139,VPD+Temp+VWC+Sedge+Shrub,0.21328579961445424,5,64,0.03658355270222878,0,2.5130006194931753,-0.9572824337217357
140,VPD+Temp+VWC+Sedge+Grass,0.22029904815673743,5,65,0.03097411019370461,0,3.7759840608724247,-0.2309169163487601
141,VPD+Temp+VWC+Sedge+Upland,0.21698386815670234,5,66,0.026758127303479665,0,3.6099890586515357,-0.6455115012101045
142,Temp+VWC+Sedge+Shrub+Grass,0.22994643783454838,5,67,0.029368808204104126,0,5.282418148809873,0.8920642512759722
143,Temp+VWC+Sedge+Shrub+Upland,0.2205807272679476,5,68,0.02923825485339175,0,3.9500295387242628,-0.20337824464723964
144,Temp+VWC+Sedge+Grass+Upland,0.22024644309537847,5,69,0.028007781442352553,0,4.000222702927943,-0.24653613584060496
145,wind_speed+(z-d)/L+PPFD_Avg+VWC+Sedge+Shrub,0.20429937810043938,6,0,0.03131943195954403,0,2.367299231307115,1.5440190583862783
146,wind_speed+(z-d)/L+PPFD_Avg+VWC+Sedge+Grass,0.19550529730941876,6,1,0.040671745812371526,1,1.1232653413349913,0.2774799525282975
147,wind_speed+(z-d)/L+AirTC_Avg+VWC+Sedge+Shrub,0.1958556400348603,6,2,0.029643329465228775,1,1.3744843036597205,0.39266874380543254
148,wind_speed+(z-d)/L+AirTC_Avg+VWC+Sedge+Grass,0.19364614092677768,6,3,0.0385286579890794,1,0.9578243692207606,0.06537201699636021
149,wind_speed+(z-d)/L+Temp+VWC+Sedge+Shrub,0.19237915750032072,6,4,0.033771863175339964,1,0.8819905105591171,-0.09493160128149351
150,wind_speed+(z-d)/L+Temp+VWC+Sedge+Grass,0.19349380880665876,6,5,0.03720252948939851,1,0.9605034411966481,0.04826259824885396
151,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub,0.1889728243986681,6,6,0.033803810848917,1,0.48250313332804773,-0.5421865504286697
152,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass,0.1856803389649775,6,7,0.03745563028297788,1,0.09149565544642346,-0.908937674762756
