,Factors,Key,RC_Sum: 21_43,RC: 21_43,RG: 21_43,SE: 21_43,CS: 21_43,RC_Sum: 8_43,RC: 8_43,RG: 8_43,SE: 8_43,CS: 8_43
0,AirTC_Avg,0,0.018577033486560066,70.45341271489606,0.3401574394355218,1.5629530443513424,0.9231870615320195,0.0,0.0,0.0,0.0,1.0000000000000002
1,VPD,1,0.022185798104254494,84.13965509505228,0.3134178705203037,1.3780110337944476,0.8412293984818323,0.0,0.0,0.0,0.0,1.0000000000000002
2,u*,2,0.2007814571486383,761.463819087437,0.2473922853668531,2.7296233094753637,0.4038054819424211,0.19583759711260174,725.7598397446462,0.3181945860385894,2.770490290633774,0.5401190943979277
3,wind_speed,3,0.20302402479378281,769.968758477181,0.3244760582844416,3.2608751610032964,0.20302402479378281,0.173459020544082,642.8264685046807,0.3332732742031415,2.3997744885205363,0.7135781149420097
4,air_pressure,4,0.020768032550351395,78.76277822316834,0.39729750454425816,1.3417737957245395,0.8841207359691715,0.0,0.0,0.0,0.0,1.0000000000000002
5,NR_Wm2_Avg,5,0.11189939924922732,424.37855126645286,0.4516915623098612,3.1239878392978584,0.5157048811916485,0.3442814972853259,1275.8820981304139,1.3433238039026036,3.180670571712005,0.3442814972853259
6,PPFD_Avg,6,0.01583502216355129,60.05433282150952,0.14105154291416208,1.2770486828667371,0.9751598832372808,0.0,0.0,0.0,0.0,1.0000000000000002
7,Table_1,7,0.050332836986587026,190.8873200822464,0.23414417567352452,1.8556593554447118,0.644224989907952,0.045344909033320016,168.04492292833712,0.19605600995322067,1.568597604107165,0.9376365570559407
8,VWC_2,8,0.022123304936987817,83.90264971373101,0.18964116213222346,1.4091533438968957,0.8633527034188201,0.0,0.0,0.0,0.0,1.0000000000000002
9,VWC_1,9,0.01756910581684579,66.63084631038814,0.13720117621123792,1.2657084395378118,0.9593248610737295,0.0,0.0,0.0,0.0,1.0000000000000002
10,Active_Layer_1,10,0.07818727172971637,296.52528366333155,0.2311395212076604,2.210221958493466,0.5938921529213649,0.11701237311303386,433.63931344514845,0.3968305100997289,1.8450908917821436,0.8305904880550437
11,Temp_2_5_1,11,0.0185686937248643,70.42178416273133,0.24150847941637038,1.384759989089557,0.9417557552568837,0.0,0.0,0.0,0.0,1.0000000000000002
12,Temp_5_1,12,0.012525405093585611,47.50260772895093,0.15232979611804087,1.068126649099545,0.9876852883308663,0.0,0.0,0.0,0.0,1.0000000000000002
13,Temp_15_1,13,0.026843549751117943,101.8041815296613,0.27840053783729674,1.718977976763402,0.7486232249905099,0.061701159967577114,228.65999496705442,0.8332294022043547,2.2268590813656157,0.8922916480226207
14,Temp_2_5_2,14,0.012314711669133636,46.70355276681346,0.1148489232485493,1.1450678453751733,1.0,0.0,0.0,0.0,0.0,1.0000000000000002
15,Temp_5_2,15,0.02300790800071138,87.25750746227664,0.32898650436351695,1.5689957309376288,0.8190436003775778,0.0,0.0,0.0,0.0,1.0000000000000002
16,Temp_15_2,16,0.020489292076287895,77.7056547769653,0.3102271987746159,1.369580674273931,0.9046100280454594,0.0,0.0,0.0,0.0,1.0000000000000002
17,Collapse,17,0.02424864216681197,91.96299266996594,0.29661491364240644,1.3985967542767028,0.7728718671573219,0.0,0.0,0.0,0.0,1.0000000000000002
18,Polygon,18,0.04144179824272075,157.16804932037115,0.17854994380225736,2.5093973106927083,0.6856667881506727,0.022044981862371853,81.69709360970863,0.26067969569315513,1.4571207376764963,1.0000000000000002
19,Rim,19,0.03611288708871933,136.95814997742738,0.1577008314430714,2.282618800402744,0.721779675239392,0.04031846108168758,149.41727372487975,0.4018435666958491,1.8175155298120298,0.9779550181376283
20,Daytime,20,0.023163825219544538,87.84882362563278,0.0024845306761562824,2.2071869646973306,0.7960356923768664,0.0,0.0,0.0,0.0,1.0000000000000002
