,Model,Size,Nodes,MSE,RMSE,SE,r2,Performance,K,Thresh,Remove
21_75,AirTC_Avg+VPD+u*+wind_speed+air_pressure+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+VWC_1+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+Collapse+Polygon+Rim+Daytime,21,75,0.09317853955067656,0.3052516004064132,0.0020296308991221723,0.9581730464782816,0,30,0.09520817044979873,N/A
9_75,VPD+wind_speed+PPFD_Avg+VWC_1+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2+Daytime,9,75,0.1256304091976034,0.35444380259443586,0.001799849653310994,0.9436057131635471,0,30,0.12743025885091439,N/A
