,Factors,Key,RC_Sum: 21_75,RC: 21_75,RG: 21_75,SE: 21_75,CS: 21_75,RC_Sum: 9_75,RC: 9_75,RG: 9_75,SE: 9_75,CS: 9_75
0,AirTC_Avg,0,0.00802615760969915,69.1838114129416,0.10693986850480239,1.0531208595602513,0.9944129133728751,0.0,0.0,0.0,0.0,1.0
1,VPD,1,0.05745919825997353,495.28635365358065,0.9511445562044779,2.512469034799699,0.5529348878765479,0.07232200601283013,954.5853311383927,1.3230260521173478,3.444361809099545,0.8051552196478767
2,u*,2,0.02462900814414046,212.29693429804027,0.3139885485249882,1.9140235646782453,0.8415664704846728,0.0,0.0,0.0,0.0,1.0
3,wind_speed,3,0.034254006773834264,295.2624231942292,0.34358325873812046,1.8805721419925367,0.731920317073608,0.007214812456061037,95.22902526028695,0.38924817300091186,1.3419010422105522,1.0
4,air_pressure,4,0.01682669075564885,145.04257909611792,0.5045914621092379,1.4786548886378557,0.9361521521729759,0.0,0.0,0.0,0.0,1.0
5,NR_Wm2_Avg,5,0.023410703165974423,201.7953984509207,0.1986065606897076,1.7744622632533855,0.8649771736506472,0.0,0.0,0.0,0.0,1.0
6,PPFD_Avg,6,0.49547568961657434,4270.897524950941,1.6653028961115828,5.339087211643924,0.49547568961657434,0.626164340442456,8264.805240085245,2.578617881409203,5.876894572047866,0.626164340442456
7,Table_1,7,0.012120299203299736,104.47446152019263,0.21287950056915483,1.346580575837012,0.9771096933342542,0.0,0.0,0.0,0.0,1.0
8,VWC_2,8,0.012532087673652286,108.02399259848434,0.24373837023352585,1.6083026236995828,0.9649893941309545,0.0,0.0,0.0,0.0,1.0
9,VWC_1,9,0.026993334002839642,232.6769320854394,0.6169644648830096,2.037929463842039,0.7911120506377302,0.043078035474236165,568.591263227268,1.0041480312744775,2.4256337508681134,0.9139503834332232
10,Active_Layer_1,10,0.04382096103495327,377.7275816902016,0.9442706358929476,2.817525260336735,0.6976663102997738,0.10666887319259066,1407.9330379835483,1.7051683406035107,3.3273542076854588,0.7328332136350466
11,Temp_2_5_1,11,0.01810920670296598,156.09760015950374,0.10612973732252916,1.6726530838666167,0.9022143948767165,0.0,0.0,0.0,0.0,1.0
12,Temp_5_1,12,0.04420153113745255,381.0080169222355,0.46474763297786315,2.4129176263747674,0.6538453492648205,0.02680360954614473,353.78350110714103,0.6672082785206537,1.9635671497338036,0.9693761764487101
13,Temp_15_1,13,0.016305154284326377,140.54704304617266,0.36273794422547023,1.518601082160666,0.9524573064573022,0.0,0.0,0.0,0.0,1.0
14,Temp_2_5_2,14,0.009277062428921717,79.9663511183733,0.22238836601997414,1.4571903823500505,0.9863867557631759,0.0,0.0,0.0,0.0,1.0
15,Temp_5_2,15,0.025825411702802115,222.60968445836545,0.3965549873188138,2.4626588916078864,0.8169374623405323,0.028622183469342213,377.78703870767646,0.6087592342558007,2.676829582904349,0.9425725669025654
16,Temp_15_2,16,0.03219839956128241,277.5435160099981,0.5317935685316721,2.0283688191502,0.7641187166348905,0.023409011095228915,308.97785943599484,0.7398052913447222,2.24885994742868,0.9927851875439391
17,Collapse,17,0.005587086627124899,48.159526183695974,0.2229599335541328,0.9492087643788037,1.0,0.0,0.0,0.0,0.0,1.0
18,Polygon,18,0.017111066540610582,147.49383929233244,0.20417154487222433,1.978383240542571,0.9193254614173271,0.0,0.0,0.0,0.0,1.0
19,Rim,19,0.019128014523103278,164.87951194369694,0.2947279545788964,2.0266750664183064,0.8841051881737505,0.0,0.0,0.0,0.0,1.0
20,Daytime,20,0.05670893025082019,488.81919925934073,0.14446132683660837,4.180288137772823,0.609643818127368,0.0657171283111103,867.4068952013931,0.09937887688477837,4.761483332940888,0.870872347958987
