,Factors,Key,RC_Sum: 21_75,RC: 21_75,RG: 21_75,SE: 21_75,CS: 21_75,RC_Sum: 9_75,RC: 9_75,RG: 9_75,SE: 9_75,CS: 9_75
0,AirTC_Avg,0,0.008257811554715631,69.18623155451073,0.07307710871100426,1.0982981226094994,0.9950001555149226,0.0,0.0,0.0,0.0,1.0
1,VPD,1,0.05643858252903803,472.85807063889274,0.9192469522356986,2.362483726545425,0.6129510311035545,0.08119228811460022,807.4564770195361,1.2142434904972712,3.249727900841758,0.6747450911994578
2,u*,2,0.024917327918181343,208.7642721857117,0.3311368380052348,1.953606491508239,0.843237638184671,0.0,0.0,0.0,0.0,1.0
3,wind_speed,3,0.03518760644813228,294.8115092526242,0.334295477066189,1.9572778773335666,0.7328782744931608,0.006371817100228515,63.36765605991305,0.33429222721606494,1.0304135698633492,1.0
4,air_pressure,4,0.017562921485225733,147.14701886804718,0.48566713606317835,1.5300070212563233,0.9041987288162575,0.0,0.0,0.0,0.0,1.0
5,NR_Wm2_Avg,5,0.025987487746182952,217.73036752100353,0.21490417926882704,1.9132842581737082,0.8183203102664897,0.03353916220465559,333.54662597676105,0.6681699052453042,2.1748737716448465,0.9657875033731053
6,PPFD_Avg,6,0.49500934442708927,4147.325341375936,1.6441305893783769,5.689652670305112,0.49500934442708927,0.5935528030848576,5902.876571571657,2.3941320441973706,5.856763945574844,0.5935528030848576
7,Table_1,7,0.012595949926709687,105.53235594008041,0.2100134360914429,1.3422625093746492,0.965867213715921,0.0,0.0,0.0,0.0,1.0
8,VWC_2,8,0.011191795212255957,93.76795897257186,0.22475902716008325,1.5120946162616231,0.977059008928177,0.0,0.0,0.0,0.0,1.0
9,VWC_1,9,0.024392230433370028,204.36486007366116,0.5979665069530408,1.969592485354306,0.867629868618041,0.0,0.0,0.0,0.0,1.0
10,Active_Layer_1,10,0.04100375957219113,343.54085045051545,0.8803305019934973,2.5184080740644634,0.6976906680450286,0.06528917801593387,649.3002093232964,1.2620667943110069,2.290504377621127,0.8126174137151405
11,Temp_2_5_1,11,0.016092535179470492,134.82771529100316,0.07615595464594661,1.506119776803667,0.9532712637892113,0.0,0.0,0.0,0.0,1.0
12,Temp_5_1,12,0.04373587736928288,366.4312897989221,0.47062529378260176,2.2809899388114565,0.6566869084728374,0.07258314449974894,721.8386315957044,0.9007953555633624,2.721412030734741,0.7473282356992067
13,Temp_15_1,13,0.016131806834826002,135.15674409275678,0.354642456304282,1.6095053288410062,0.9371787286097408,0.0,0.0,0.0,0.0,1.0
14,Temp_2_5_2,14,0.009683335032029972,81.12966193365767,0.23398212970544896,1.4875578059727244,0.986742343960207,0.0,0.0,0.0,0.0,1.0
15,Temp_5_2,15,0.027708534348258936,232.14977246120662,0.4168527675171693,2.4243919675001795,0.7923328225203067,0.05697967704207403,566.6623069073311,0.6608183628879487,2.8486270648988268,0.9322483411684497
16,Temp_15_2,16,0.03174601367888694,265.9768921544217,0.5463762275874615,2.013132941512943,0.7646242881720478,0.027840679526666214,276.8752738770197,0.7709874811271826,2.019845100479803,0.9936281828997715
17,Collapse,17,0.004999844485077382,41.89008140825992,0.1985324045177549,0.941942495718156,1.0,0.0,0.0,0.0,0.0,1.0
18,Polygon,18,0.016848192958657353,141.15882538480693,0.175805091795822,1.8785912126450557,0.9210469217749149,0.0,0.0,0.0,0.0,1.0
19,Rim,19,0.01900593871299076,159.23701673198335,0.3247622871771455,2.02934518918275,0.8866358073310318,0.0,0.0,0.0,0.0,1.0
20,Daytime,20,0.06150310414742727,515.2900349772664,0.15213795476593076,4.216062510687438,0.5565124485745165,0.06265125041123505,623.0660462052888,0.1075267227366567,4.361468978025666,0.8752686641263756
