,Model,Size,Nodes,MSE,RMSE,SE,r2,Performance,K,Thresh,Remove
21_43,AirTC_Avg+VPD+u*+wind_speed+air_pressure+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+VWC_1+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+Collapse+Polygon+Rim+Daytime,21,43,35.52530205460099,5.960310566958822,0.598547643498299,0.7796969465438643,0,30,36.12384969809929,N/A
8_43,u*+wind_speed+NR_Wm2_Avg+Table_1+Active_Layer_1+Temp_15_1+Polygon+Rim,8,43,40.247877456020916,6.3441214881196055,0.6189120348972873,0.750410839996182,0,30,40.8667894909182,N/A
