,Factors,Key,RC_Sum: 21_43,RC: 21_43,RG: 21_43,SE: 21_43,CS: 21_43,RC_Sum: 8_43,RC: 8_43,RG: 8_43,SE: 8_43,CS: 8_43
0,AirTC_Avg,0,0.01673092020364646,63.11567534294922,0.3286081197050711,1.2442024748518123,0.9595470100630794,0.0,0.0,0.0,0.0,1.0000000000000002
1,VPD,1,0.024477637308345002,92.33936870843796,0.2844284242639939,1.487968458817091,0.7692763854209859,0.0,0.0,0.0,0.0,1.0000000000000002
2,u*,2,0.20102113308227326,758.3315453221348,0.26163903971513114,2.65668709802354,0.40950808321876386,0.20255464708352136,743.5521788751611,0.3083235263824463,2.7147050703077737,0.5415503311730989
3,wind_speed,3,0.2084869501364906,786.4955721436324,0.3421198334544897,3.2993130014482217,0.2084869501364906,0.17526243265401978,643.3659535894172,0.2652175982793172,2.424665316222937,0.7168127638271187
4,air_pressure,4,0.023405484510422202,88.29478257162872,0.3975691543271144,1.5582253494366407,0.8633131719450083,0.0,0.0,0.0,0.0,1.0000000000000002
5,NR_Wm2_Avg,5,0.11155008710740981,420.8112283515948,0.44627991144855816,3.109381067279174,0.5210581703261736,0.3389956840895776,1244.409758864463,1.306672191619873,3.156111890745263,0.3389956840895776
6,PPFD_Avg,6,0.013944284158045344,52.603377524758244,0.12180737070739268,1.1573362873842983,0.9734912942211248,0.0,0.0,0.0,0.0,1.0000000000000002
7,Table_1,7,0.05737053470387188,216.42444041014525,0.2230599016572038,2.034033806951581,0.6535947548836314,0.044280771657205856,162.5490440335964,0.23203342221677303,1.472770165619559,0.9412296471877312
8,VWC_2,8,0.01980074064290059,74.69625715475448,0.1612488304885725,1.2665515907542229,0.9061623861528649,0.0,0.0,0.0,0.0,1.0000000000000002
9,VWC_1,9,0.017106598998404436,64.532884949747,0.16929475211848816,1.3120795464415411,0.942816089859433,0.0,0.0,0.0,0.0,1.0000000000000002
10,Active_Layer_1,10,0.07516604985358584,283.5561906712628,0.16487118316193422,2.156469691710835,0.5962242201797595,0.11821493966298657,433.9519099049113,0.38256593719124793,2.1811779263979094,0.8350277034901052
11,Temp_2_5_1,11,0.01954710470816369,73.7394416827238,0.24497765315075715,1.4268539401302802,0.9257094908610286,0.0,0.0,0.0,0.0,1.0000000000000002
12,Temp_5_1,12,0.013780716198297563,51.98633422299774,0.16262981990973152,1.1153707710377632,0.9872720104194224,0.0,0.0,0.0,0.0,1.0000000000000002
13,Temp_15_1,13,0.026066490912143945,98.33315548192294,0.25528321793923775,1.6182499547221696,0.7447987481126409,0.06192117204041998,227.3046955579014,0.8320818196982145,2.1246395849964532,0.8969488755305253
14,Temp_2_5_2,14,0.012727989580577687,48.01503135261483,0.10604394314189752,1.1722982429924504,1.0,0.0,0.0,0.0,0.0,1.0000000000000002
15,Temp_5_2,15,0.023541344918446977,88.80730198481578,0.28460351551572477,1.4603983006168804,0.816435692896504,0.0,0.0,0.0,0.0,1.0000000000000002
16,Temp_15_2,16,0.023048473564955964,86.94799550590501,0.3088298255267243,1.4956332587192986,0.8863616455099643,0.0,0.0,0.0,0.0,1.0000000000000002
17,Collapse,17,0.023471994538082172,88.54568480902762,0.2988081903507312,1.4082269288695397,0.8399076874345861,0.0,0.0,0.0,0.0,1.0000000000000002
18,Polygon,18,0.03664293101047629,138.2316877446616,0.17075587150951227,2.2924099568009684,0.6902376858941077,0.02058214914348797,75.55443462752845,0.24971160870045422,1.473472465951087,1.0000000000000002
19,Rim,19,0.02849457130638925,107.49283899032713,0.1596929025525848,2.0128317215240314,0.7187322572004969,0.038188203668781014,140.18400690428092,0.37758463869492215,1.656936520270842,0.9794178508565122
20,Daytime,20,0.0236179625570712,89.09633414479798,0.048030294974644984,2.3039858743572497,0.792894347978057,0.0,0.0,0.0,0.0,1.0000000000000002
