,Model,MSE,Size,Number,SE,Performance
168,H+Wind Spd+air pressure+Water Table+Ts 15 cm Cent+Active Layer+24H Rain+VPD+u*+fco2,0.5042989370874656,10,6,0.04899784206186819,1
169,H+Wind Spd+air pressure+Water Table+Ts 2.5 cm Rim+Active Layer+24H Rain+VPD+u*+fco2,0.5077973779037603,10,7,0.047121383808686884,1
170,H+Wind Spd+air pressure+Water Table+Ts 5 cm Rim+Active Layer+24H Rain+VPD+u*+fco2,0.5026979718862395,10,8,0.04704342815960208,1
171,H+Wind Spd+air pressure+Water Table+Ts 15 cm Rim+Active Layer+24H Rain+VPD+u*+fco2,0.503268364609921,10,9,0.04153024400531991,1
172,H+Wind Spd+air pressure+Water Table+Ts All Cent+Active Layer+24H Rain+VPD+u*+fco2,0.5036699003225765,10,10,0.0450513194377514,1
173,H+Wind Spd+air pressure+Water Table+Ts All Rim+Active Layer+24H Rain+VPD+u*+fco2,0.5003401290144456,10,11,0.03472755924160417,1
174,H+Wind Spd+air pressure+Water Table+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4841166411359242,10,12,0.05102846100965597,2
175,H+LE+Wind Spd+air pressure+Water Table+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.48647287828429187,11,0,0.043992897696555844,1
176,H+Wind Spd+air pressure+Ta+Water Table+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.48265674406370906,11,1,0.04431261553577739,2
177,H+Wind Spd+air pressure+Rn+Water Table+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.49258666393076206,11,2,0.04563621330566053,1
178,H+Wind Spd+air pressure+PPFD+Water Table+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4929099571115907,11,3,0.04312398267178548,1
179,H+Wind Spd+air pressure+Water Table+Ts 2.5 cm Cent+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.496629565882217,11,4,0.04910361679233414,1
180,H+Wind Spd+air pressure+Water Table+Ts 5 cm Cent+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.49293072085849454,11,5,0.045864899328365905,1
181,H+Wind Spd+air pressure+Water Table+Ts 15 cm Cent+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4902276350445697,11,6,0.043996427164169086,1
182,H+Wind Spd+air pressure+Water Table+Ts 2.5 cm Rim+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.49594602757533984,11,7,0.04976098087774843,1
183,H+Wind Spd+air pressure+Water Table+Ts 5 cm Rim+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.49116920290770305,11,8,0.046826131882274295,1
184,H+Wind Spd+air pressure+Water Table+Ts 15 cm Rim+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4968405679447029,11,9,0.043460813363306504,1
185,H+Wind Spd+air pressure+Water Table+Ts All Cent+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4877770187257201,11,10,0.05356019690442735,1
186,H+Wind Spd+air pressure+Water Table+Ts All Rim+VWC+Active Layer+24H Rain+VPD+u*+fco2,0.4894727106273807,11,11,0.040526693118417535,1
