,Model,MSE,Size,Number,SE,Performance
76,H+Wind Spd+PPFD+VPD,0.004687026056613148,4,16,0.00027149820636805877,1
77,H+Wind Spd+PPFD+u*,0.004669413532999095,4,17,0.0003340188066671778,1
78,H+LE+Wind Spd+PPFD+Active Layer,0.004090817970747614,5,0,0.00030899682048535297,1
79,H+Wind Spd+air pressure+PPFD+Active Layer,0.004260957539780048,5,1,0.0003331741632649229,1
80,H+Wind Spd+Ta+PPFD+Active Layer,0.004152096193621611,5,2,0.00029440237484860564,1
81,H+Wind Spd+Rn+PPFD+Active Layer,0.004330700989101439,5,3,0.0002278261637048656,0
82,H+Wind Spd+PPFD+Water Table+Active Layer,0.004118091765350721,5,4,0.00028233595954157997,1
83,H+Wind Spd+PPFD+Ts 2.5 cm Cent+Active Layer,0.004161137291396656,5,5,0.00025529885465515984,1
84,H+Wind Spd+PPFD+Ts 5 cm Cent+Active Layer,0.004269715458386394,5,6,0.00028311584226364833,1
85,H+Wind Spd+PPFD+Ts 15 cm Cent+Active Layer,0.00407398479329053,5,7,0.00033761592435569635,1
86,H+Wind Spd+PPFD+Ts 2.5 cm Rim+Active Layer,0.004182857610280666,5,8,0.0002500006889641377,1
87,H+Wind Spd+PPFD+Ts 5 cm Rim+Active Layer,0.004352542903722289,5,9,0.0003477519375177859,0
88,H+Wind Spd+PPFD+Ts 15 cm Rim+Active Layer,0.004397713665738912,5,10,0.00026602016178394307,0
89,H+Wind Spd+PPFD+Ts All Cent+Active Layer,0.004105509232250315,5,11,0.00025009849812868606,1
90,H+Wind Spd+PPFD+Ts All Rim+Active Layer,0.004327202725499727,5,12,0.0002876302134323854,0
91,H+Wind Spd+PPFD+VWC+Active Layer,0.004096380341416912,5,13,0.00024886671565045707,1
92,H+Wind Spd+PPFD+Active Layer+24H Rain,0.004373385952334917,5,14,0.0003163052444703159,0
93,H+Wind Spd+PPFD+Active Layer+VPD,0.003988436964590543,5,15,0.0002877090896064427,2
94,H+Wind Spd+PPFD+Active Layer+u*,0.004124660993094368,5,16,0.00029706622546055096,1
95,H+LE+Wind Spd+PPFD+Active Layer+VPD,0.0037652483763004328,6,0,0.00027625621801026116,1
96,H+Wind Spd+air pressure+PPFD+Active Layer+VPD,0.003924854658709485,6,1,0.0003799847175979245,0
97,H+Wind Spd+Ta+PPFD+Active Layer+VPD,0.003914789480645513,6,2,0.00031914439707693946,0
98,H+Wind Spd+Rn+PPFD+Active Layer+VPD,0.0038883143133324233,6,3,0.00037100459973294167,0
99,H+Wind Spd+PPFD+Water Table+Active Layer+VPD,0.0037458792023809195,6,4,0.0002641258380770238,1
100,H+Wind Spd+PPFD+Ts 2.5 cm Cent+Active Layer+VPD,0.0038432734255517058,6,5,0.0002824172573578453,1
101,H+Wind Spd+PPFD+Ts 5 cm Cent+Active Layer+VPD,0.0038466289186553453,6,6,0.0003485043238195904,1
