,Model,MSE,Size,Number,SE,Performance,T,T2
0,H,0.00024308274369275862,1,0,2.7956434888243602e-05,0,3.177956749923703,3.177956749923703
1,Water Table,0.00020250814498164023,1,1,2.9718154293487118e-05,0,1.2573901770553382,1.2573901770553382
2,Wind Spd,0.00022665420660397456,1,2,1.9258986002644272e-05,0,2.736843041456605,2.736843041456605
3,Active Layer,0.0001747318375642521,1,3,3.269223435963219e-05,1,0.0,0.0
4,H+Active Layer,0.0001837703378755319,2,0,3.7434303875877194e-05,0,0.8527046624414023,0.36372092600460604
5,Water Table+Active Layer,0.00016703439567707524,2,1,1.1812384590002045e-05,1,0.0,-0.4428803379868618
6,Wind Spd+Active Layer,0.00017734610257400012,2,2,2.0099053080025044e-05,0,0.8846246519161908,0.13624308921039188
