datetime,H,LE,fco2,fch4,Wind Spd,air pressure,Ta,Rn,PPFD,Water Table,Ts 2.5 cm Cent,Ts 5 cm Cent,Ts 15 cm Cent,Ts 2.5 cm Rim,Ts 5 cm Rim,Ts 15 cm Rim,Ts All Cent,Ts All Rim,VWC,Active Layer,24H Rain,Dir,ER,Time,DOY,VPD,u*
2017-06-29 09:00:00,60.10045076260974,17.20392440733421,-0.7067524584947774,0.03901537009130745,6.143728833682903,101627.05083333333,6.694,123.9,274.5,-0.134,3.597,6.558,3.64,4.371,1.298,0.901,0.18392,0.45256,49.97604801757834,0.2486002304147465,3.608224830031759e-16,110.83210404982064,,9,180,32.944283304723015,0.5010239938863267
2017-06-29 09:30:00,62.50754712240381,13.731486169675282,-0.6071525898150575,0.03228592658996056,6.146700463312981,101630.54444444444,7.036,147.9,326.1,-0.134,3.514,6.787000000000001,3.563,4.448,1.172,0.7659999999999999,0.18735999999999997,0.48168000000000005,49.97039020273685,0.2486866359447005,3.608224830031759e-16,114.2875140495454,,9,180,41.690426559424196,0.45424176441156094
2017-06-29 10:00:00,81.45628777460365,27.047601516111374,-0.9598340640758317,0.032359207862694465,6.199559262294925,101631.64833333333,7.601,180.2,398.7,-0.134,3.399,7.24,3.451,4.529,0.99,0.617,0.19271999999999997,0.52984,49.96473099810775,0.2487730414746544,3.608224830031759e-16,112.95108127104511,,10,180,76.24539238539712,0.49717471788624545
2017-06-29 10:30:00,79.5519668002997,21.576789401448647,-0.846815280331299,0.04051923994793026,5.914785130216778,101631.17333333334,8.22,197.7,438.2,-0.134,3.359,7.71,3.412,4.686,0.8690000000000001,0.519,0.1992,0.57528,49.961900873469524,0.2488594470046083,3.608224830031759e-16,110.6934250468221,,10,180,97.09148240200305,0.4926104387726688
2017-06-29 11:00:00,128.99950961166107,42.72029734394202,-1.427304932121743,,6.145951936995615,101622.19166666667,8.86,266.5,595.9,-0.134,3.205,8.45,3.276,4.75,0.608,0.28600000000000003,0.20776,0.6531199999999999,49.95907040000001,0.24894585253456225,3.608224830031759e-16,104.80293902369286,,11,180,138.38303185638006,0.5228495737736502
2017-06-29 11:30:00,162.00043650786705,48.7022559549062,-1.3234629063402703,0.037345618328106275,6.529922312752863,101609.37833333333,9.67,341.7,807.0,-0.134,3.039,9.51,3.1180000000000003,4.879,0.305,0.07200000000000001,0.21872,0.75504,49.95623957723704,0.2490322580645161,3.608224830031759e-16,108.48363164857065,,11,180,194.49657393141868,0.5178460354764661
2017-06-29 12:00:00,204.74406424998733,52.56858328660061,-1.7069220068093252,0.033268680562143875,6.318169976944444,101606.13111111111,10.76,436.6,1068.0,-0.134,2.636,10.32,2.741,5.001,-0.28,-0.243,0.23328000000000004,0.84504,49.95340840471844,0.24911866359447005,3.608224830031759e-16,113.4754935853825,,12,180,277.6433751270738,0.5324522854776518
2017-06-29 12:30:00,217.70511040876258,66.0438142810464,-1.2437526400874626,0.048308972367499745,6.491701434428441,101591.0761111111,11.68,473.6,1159.0,-0.1345,2.604,11.32,2.759,5.6110000000000015,-0.504,-0.172,0.24864,0.9193600000000001,49.94491278400225,0.249205069124424,3.608224830031759e-16,112.995951920779,,12,180,338.52097737317325,0.5446517536506812
2017-06-29 13:00:00,196.37677391391196,,-0.5221651562923159,0.03804386752829433,6.678658852781061,101582.3425,12.45,505.7,1225.0,-0.135,2.748,11.76,2.977,6.182,-0.581,-0.159,0.26632,0.95352,49.93641399881856,0.2492914746543779,3.608224830031759e-16,112.87788263790644,,13,180,394.5057023346003,0.517694102559119
2017-06-29 13:30:00,226.96215523602976,78.48680668795032,-1.2882151430928195,0.04954785050347096,6.573898125317438,101563.80722222223,13.11,528.2,1285.0,-0.135,2.979,11.88,3.28,6.901,-0.597,-0.177,0.28608,0.9645600000000001,49.927912036644315,0.2493778801843318,3.608224830031759e-16,113.82374443066713,,13,180,450.52524824435164,0.5661714497214031
