datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+Sedge,Model: AirTC_Avg+Sedge,BestModel: PPFD_Avg+Sedge
2016-07-11 18:30:00,5.01905,6.8788714,9.1464205,5.6792088,5.0193396,5.788567,6.1874194
2016-07-11 19:00:00,5.143073,6.781206,9.081126,5.6792088,5.077581,5.721011,6.175985
2016-07-11 19:30:00,5.2210445,6.7436647,9.029322,5.6792088,5.102044,5.675662,6.156785
2016-07-11 20:00:00,5.281899,6.6584606,8.997999,5.6792088,5.1768456,5.6484528,6.1009665
2016-07-11 20:30:00,5.3364015,6.581252,8.939433,5.6792088,5.2044053,5.5998645,6.07097
2016-07-11 21:00:00,5.3667064,6.536705,8.864791,5.6792088,5.1813426,5.5443482,6.0136094
2016-07-11 21:30:00,5.371915,6.5150785,8.877577,5.6792088,5.169382,5.552591,5.9800515
2016-07-11 22:00:00,5.3409142,6.5662546,8.940998,5.6792088,5.197065,5.60116,6.057892
2016-07-11 22:30:00,5.3512487,6.5472555,8.921418,5.6792088,5.1871767,5.584964,6.0299807
2016-07-11 23:00:00,5.4058175,6.463199,8.819242,5.6792088,5.1423297,5.5157733,5.8995504
2016-07-11 23:30:00,5.4260907,6.4221935,8.804014,5.6792088,5.109211,5.5069814,5.8359222
2016-07-12 00:00:00,5.439895,6.390821,8.801159,5.6792088,5.079181,5.505333,5.787376
2016-07-12 00:30:00,5.4459543,6.3613715,8.813531,5.6792088,5.0508304,5.5124764,5.747984
2016-07-12 01:00:00,5.4531765,6.338601,8.803062,5.679209,5.0286784,5.506433,5.717205
2016-07-12 01:30:00,5.476633,6.3232884,8.714461,5.679209,5.0137825,5.457528,5.6965065
2016-07-12 02:00:00,5.476637,6.3140926,8.718874,5.6792088,5.004835,5.459723,5.6840763
2016-07-12 02:30:00,5.4739604,6.3074584,8.732802,5.6792088,4.998381,5.466867,5.675109
2016-07-12 03:00:00,5.4823804,6.306488,8.656489,5.6792088,4.997437,5.429478,5.673797
2016-07-12 03:30:00,5.4965897,6.3017907,8.411928,5.6792135,4.992843,5.3587837,5.667447
2016-07-12 04:00:00,5.4979043,6.305641,8.074403,5.679264,4.996692,5.2998185,5.6726494
2016-07-12 04:30:00,5.4992466,6.3111258,7.7683425,5.6792097,5.0019503,5.249111,5.6800656
2016-07-12 05:00:00,5.501214,6.31986,7.553814,5.6792088,5.010446,5.213767,5.691872
2016-07-12 05:30:00,5.504141,6.3335223,7.4165163,5.6792264,5.0237627,5.191196,5.710339
2016-07-12 06:00:00,5.5077047,6.358404,7.36789,5.6792088,5.047944,5.183137,5.7439733
2016-07-12 06:30:00,5.511999,6.38578,7.379331,5.6792088,5.074356,5.1850214,5.7806716
2016-07-12 07:00:00,5.5641456,6.452297,7.2820783,5.679212,5.133803,5.1690097,5.8826327
2016-07-12 07:30:00,5.588601,6.5078225,7.3278446,5.6792088,5.1653695,5.1765394,5.9687924
2016-07-12 08:00:00,5.6070247,6.546932,7.29352,5.6792088,5.1869984,5.170885,6.029479
2016-07-12 08:30:00,5.6289563,6.647021,7.528071,5.6792088,5.1893597,5.2095256,6.0970874
2016-07-12 09:00:00,5.605372,6.6680813,7.756901,5.6792088,5.1672487,5.247223,6.1061053
2016-07-12 09:30:00,5.627389,6.686272,7.691112,5.6792088,5.15203,5.236385,6.116762
2016-07-12 10:00:00,5.6532187,6.772947,7.8999195,5.6792088,5.082963,5.2708235,6.171761
2016-07-12 10:30:00,5.6210237,6.9027214,7.988591,5.6792088,4.9919496,5.2854815,6.171107
2016-07-12 11:00:00,5.4259048,7.0628414,8.266645,5.6792088,4.8152184,5.332292,6.084162
2016-07-12 11:30:00,5.346601,7.1173253,8.507642,5.6792088,4.8012805,5.3826337,6.0715966
2016-07-12 12:00:00,5.5564313,8.004121,8.718874,5.6792088,4.825251,5.459723,5.922501
2016-07-12 12:30:00,5.486837,7.964166,8.848563,5.6792088,4.8224764,5.5339074,5.9457216
2016-07-12 13:00:00,5.534971,8.062297,8.983245,5.6792088,4.8327346,5.636143,5.8893557
2016-07-12 13:30:00,6.430803,8.764372,9.113899,5.6792173,5.5640855,5.7522755,5.802246
2016-07-12 14:00:00,7.87651,10.578299,9.322383,5.679427,6.8834286,5.999698,7.6969404
2016-07-12 14:30:00,6.9962254,9.426596,9.319743,5.6801457,6.148465,5.998944,6.4101734
2016-07-12 15:00:00,6.1613436,8.528579,9.235558,5.6792088,5.1677217,5.894798,5.668145
2016-07-12 15:30:00,6.791971,9.148741,9.299032,5.6792088,5.965087,5.9708877,6.1340494
