,Key,Level,MAE,Model,R2
0,1_0,1,0.528986257830844,H,-194.79042852225643
1,1_0,1,0.5300930259992487,H,-166.10860552433928
2,1_0,1,0.531304411959115,H,-154.01251096501323
3,1_0,1,0.5298723572288675,H,-205.14727242507348
4,1_0,1,0.5302590658268947,H,-174.6364667476454
5,1_0,1,0.5300235447528957,H,-183.29647977803364
6,1_0,1,0.5306377351992426,H,-190.756944253445
7,1_0,1,0.5302587015191952,H,-204.16336217852447
8,1_0,1,0.5226156065269598,H,-205.37765386202807
9,1_0,1,0.5287250352089339,H,-233.92330505506177
10,1_0,1,0.5227671477810594,H,-116.3852314346445
11,1_0,1,0.5298861305263088,H,-190.8103984319961
12,1_0,1,0.5294221351224795,H,-213.9267567174764
13,1_0,1,0.5301191852012138,H,-207.8400380471031
14,1_0,1,0.5296582145254055,H,-155.59064520987468
15,1_0,1,0.5300201037439434,H,-190.1736204104736
16,1_0,1,0.5285218627996823,H,-240.51671595125194
17,1_0,1,0.5302884276229998,H,-189.4233242881139
18,1_0,1,0.5292931925978022,H,-232.1180376477645
19,1_0,1,0.5283845876141764,H,-209.2694717879496
20,1_0,1,0.5300726643262234,H,-199.70394571560064
21,1_0,1,0.5284658774313036,H,-200.85909128184662
22,1_0,1,0.5306414267478313,H,-201.48741421678392
23,1_0,1,0.529718713582408,H,-214.3495269487423
24,1_0,1,0.5283743945348089,H,-181.51355521133468
25,1_0,1,0.5290804888782736,H,-174.94028391504386
26,1_0,1,0.5282852512438999,H,-204.30294881531364
27,1_0,1,0.5283009883317692,H,-217.63760744295416
28,1_0,1,0.5299188618688986,H,-178.0288680000852
29,1_0,1,0.5297737296972019,H,-182.366702217048
30,1_1,1,0.5231595997861057,wind_speed,-768.4531851287679
31,1_1,1,0.515827687181273,wind_speed,-218.51865810235836
32,1_1,1,0.5178600287801562,wind_speed,-381.657519337704
33,1_1,1,0.5217808785219278,wind_speed,-347.31560260868895
34,1_1,1,0.5117278321220953,wind_speed,-83.28158049748913
35,1_1,1,0.5222677492179045,wind_speed,-414.1114401614529
36,1_1,1,0.5306800594949336,wind_speed,-89.10766111209145
37,1_1,1,0.5221737468696515,wind_speed,-479.75156804161617
38,1_1,1,0.5112538474283961,wind_speed,-160.37877189797504
39,1_1,1,0.5243451282915975,wind_speed,-183.25515295721982
40,1_1,1,0.511819073508381,wind_speed,-131.86077254411748
41,1_1,1,0.5240577831112153,wind_speed,-161.87226433866383
42,1_1,1,0.5184378557363261,wind_speed,-341.22398862239316
43,1_1,1,0.5220415122230843,wind_speed,-636.833669669118
44,1_1,1,0.5238657858879884,wind_speed,-264.0078956793435
45,1_1,1,0.5213040660875962,wind_speed,-505.0931502338538
46,1_1,1,0.5229590435978237,wind_speed,-107.76679226938205
47,1_1,1,0.5231048792408247,wind_speed,-246.7911466007015
48,1_1,1,0.5218646302415012,wind_speed,-309.05362554975505
49,1_1,1,0.520239257198229,wind_speed,-440.3434929535214
50,1_1,1,0.5174882252255033,wind_speed,-212.45986099540914
51,1_1,1,0.5196400314336511,wind_speed,-356.85696154634957
52,1_1,1,0.5215970438373828,wind_speed,-206.9935035844132
53,1_1,1,0.5168974337457787,wind_speed,-139.5188897497668
54,1_1,1,0.5210136951495836,wind_speed,-410.0601638713
55,1_1,1,0.5249002462114808,wind_speed,-209.65597949459803
56,1_1,1,0.5213574098801957,wind_speed,-336.8919998244366
57,1_1,1,0.5213539349046222,wind_speed,-321.994733398915
58,1_1,1,0.523915280147119,wind_speed,-592.1888041288038
59,1_1,1,0.5225967297758995,wind_speed,-283.2511894562504
60,1_2,1,0.5202859830470452,air_pressure,-304.4347570348323
61,1_2,1,0.5253491925578627,air_pressure,-365.1864742748913
62,1_2,1,0.5270173124221544,air_pressure,-608.0889699834755
63,1_2,1,0.5214271430258017,air_pressure,-291.14113221380484
64,1_2,1,0.5258417589857585,air_pressure,-224.53866228029048
65,1_2,1,0.5200082464502982,air_pressure,-195.1731174202131
66,1_2,1,0.5171662789252847,air_pressure,-95.47912794693023
67,1_2,1,0.5181722382400065,air_pressure,-158.06965366754397
68,1_2,1,0.5254386056910235,air_pressure,-276.168848881165
69,1_2,1,0.5206032938351413,air_pressure,-220.15156982480678
70,1_2,1,0.5281945735697708,air_pressure,-285.9182799485557
71,1_2,1,0.5207390161804606,air_pressure,-246.93068898735194
72,1_2,1,0.5235681213754878,air_pressure,-376.5423954655946
73,1_2,1,0.5220851305610669,air_pressure,-326.35037401611055
74,1_2,1,0.5194873852672085,air_pressure,-158.64322477968224
75,1_2,1,0.5202983410574761,air_pressure,-247.40745026416738
76,1_2,1,0.5212901155877224,air_pressure,-234.7119348190892
77,1_2,1,0.5202023332184595,air_pressure,-172.3609702628097
78,1_2,1,0.523628174362641,air_pressure,-215.03793939675904
79,1_2,1,0.522664200152253,air_pressure,-287.0567153590197
80,1_2,1,0.5223606631561789,air_pressure,-309.3989888240576
81,1_2,1,0.5189398025339884,air_pressure,-206.96744141599385
82,1_2,1,0.5207393774051612,air_pressure,-227.52198979886037
83,1_2,1,0.5222050059496508,air_pressure,-267.44003599447046
84,1_2,1,0.5187042122637925,air_pressure,-165.16722656875518
85,1_2,1,0.5208338819396744,air_pressure,-230.32287948691396
86,1_2,1,0.5167532077944699,air_pressure,-143.259249800617
87,1_2,1,0.5234739375814549,air_pressure,-256.6755778181471
88,1_2,1,0.5272471029129446,air_pressure,-325.81679292848185
89,1_2,1,0.5190168805886796,air_pressure,-167.95328046413178
90,1_3,1,0.5216378434671279,PPFD_Avg,-50.979691955132296
