,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
50,PPFD_Avg+AirTC_Avg+Sedge+Grass,0.2296065106497008,4,5,10,0.07505267093559179,0.5776712225763192,0,0.3046591815852926
51,PPFD_Avg+AirTC_Avg+Sedge+Out_of_Basin,0.23736318625741998,4,6,10,0.09127371123478512,0.5634039123114201,0,0.3286368974922051
52,PPFD_Avg+AirTC_Avg+Sedge+Upland,0.2454514344369584,4,7,10,0.09584992446255754,0.5485267210876257,0,0.34130135889951596
53,AirTC_Avg+VPD+Temp+Sedge,0.24446280313720042,4,8,10,0.09779821412574032,0.5503451688614633,0,0.3422610172629407
54,AirTC_Avg+VPD+VWC+Sedge,0.25721168237480574,4,9,10,0.11601280105194836,0.526895404450582,0,0.3732244834267541
55,AirTC_Avg+VPD+Sedge+Out_of_Basin,0.2587168812898776,4,10,10,0.09470378016145002,0.5241268034392998,0,0.3534206614513276
56,AirTC_Avg+wind_speed+Temp+Sedge,0.25609994415448795,4,11,10,0.12210416702597122,0.528940290033632,0,0.37820411118045916
57,AirTC_Avg+wind_speed+VWC+Sedge,0.2407500000586007,4,12,10,0.11509750407698385,0.5571743462247837,0,0.3558475041355845
58,AirTC_Avg+wind_speed+Sedge+Out_of_Basin,0.23403261839470668,4,13,10,0.10679355498540719,0.5695300219308999,0,0.3408261733801139
59,AirTC_Avg+Temp+VWC+Sedge,0.23944834612831445,4,14,10,0.09408642171540649,0.5595685549580247,0,0.33353476784372094
60,AirTC_Avg+Temp+Sedge+Shrub,0.23559947227263653,4,15,10,0.08030030885802081,0.5666480153153417,0,0.3158997811306573
61,AirTC_Avg+Temp+Sedge+Grass,0.22861330271809438,4,16,10,0.06027427024303363,0.5794980884186506,0,0.288887572961128
62,AirTC_Avg+Temp+Sedge+Out_of_Basin,0.23807797018099616,4,17,10,0.07493856843248303,0.5620891681444893,0,0.3130165386134792
63,AirTC_Avg+Temp+Sedge+Upland,0.24808557103572476,4,18,10,0.0849208796482291,0.543681598507364,0,0.33300645068395385
64,AirTC_Avg+VWC+Sedge+Shrub,0.2327224653577983,4,19,10,0.09724099993825756,0.5719398635714952,0,0.32996346529605586
65,AirTC_Avg+VWC+Sedge+Grass,0.22730141887498503,4,20,10,0.0914920690672716,0.5819111136330251,0,0.31879348794225665
66,AirTC_Avg+VWC+Sedge+Out_of_Basin,0.25354095754781913,4,21,10,0.09346728180723003,0.5336471848075648,0,0.34700823935504915
67,AirTC_Avg+VWC+Sedge+Upland,0.2498337669204722,4,22,10,0.08505363614835984,0.5404660388587577,0,0.334887403068832
68,AirTC_Avg+Sedge+Shrub+Out_of_Basin,0.2586135650724028,4,23,10,0.08405450192231695,0.5243168390427795,0,0.34266806699471974
69,AirTC_Avg+Sedge+Grass+Out_of_Basin,0.24476639812520404,4,24,10,0.0763480170337252,0.5497867487201846,0,0.32111441515892925
70,AirTC_Avg+Sedge+Out_of_Basin+Upland,0.23563739950193507,4,25,10,0.08601089373770472,0.5665782535288166,0,0.3216482932396398
71,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge,0.23272907373614254,5,0,8,0.11351014377474955,0.5719277083920145,0,0.3462392175108921
72,PPFD_Avg+AirTC_Avg+wind_speed+VWC+Sedge,0.21946892191365663,5,1,8,0.1325802296783837,0.5963178865790204,1,0.3520491515920403
73,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,0.21954186698747216,5,2,8,0.09780009923660427,0.5961837144087434,1,0.3173419662240764
74,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub,0.21594438769904975,5,3,8,0.08260743116526391,0.6028007699329415,1,0.29855181886431365
