,MSE,Model,Number,Performance,SE,Size,T,T2
0,0.2835432865331157,wind_speed,0,0,0.015397527161968662,1,84.01685716498551,84.01685716498551
1,0.2823514116998581,air_pressure,1,0,0.01221802557419123,1,104.0515264175387,104.0515264175387
2,0.04211313812826911,PPFD_Avg,2,1,0.0032622147840313826,1,0.0,0.0
3,0.2422897101296379,AirTC_Avg,3,0,0.010146625287333587,1,102.87083380496328,102.87083380496328
4,0.20901499554617825,VPD,4,0,0.01043950874143444,1,83.58149162180243,83.58149162180243
5,0.2516665554094383,Temp,5,0,0.016046390549082325,1,70.09446537460407,70.09446537460407
6,0.28533394611896296,VWC,6,0,0.015680819257386125,1,83.17487501905072,83.17487501905072
7,0.2819854159691622,Sedge,7,0,0.011536778410485844,1,109.58545665523789,109.58545665523789
8,0.28360897273855085,Shrub,8,0,0.01620672184713884,1,80.01115735733104,80.01115735733104
9,0.28450267726361,Grass,9,0,0.013444401296851134,1,95.96444879332095,95.96444879332095
10,0.26278914441314605,Upland,10,0,0.017095001735031062,1,69.45118094036404,69.45118094036404
11,0.0396667127154651,wind_speed+PPFD_Avg,0,2,0.0034366875275604223,2,1.4460328459378153,-2.8278522204725487
12,0.038171037574281336,air_pressure+PPFD_Avg,1,2,0.0045038133592172035,2,0.0,-3.882610108158813
13,0.04036072481878335,PPFD_Avg+AirTC_Avg,2,0,0.0032275758455755973,2,2.1645237150520362,-2.0915839281866706
14,0.038726062615234716,PPFD_Avg+VPD,3,2,0.0038017370569692985,2,0.515790903402068,-3.703307235449844
15,0.04184218126501386,PPFD_Avg+Temp,4,0,0.004214880945998743,2,3.2597719106126224,-0.27844925430963785
16,0.04018957470270909,PPFD_Avg+VWC,5,0,0.004679372110203758,2,1.7023139736539206,-1.847004339928418
17,0.04163116732736253,PPFD_Avg+Sedge,6,0,0.003350549258959296,2,3.3761774194049106,-0.5645138253042782
18,0.04063843355687843,PPFD_Avg+Shrub,7,0,0.004431298535964444,2,2.1389477755907467,-1.4679079407671554
19,0.04231672762952904,PPFD_Avg+Grass,8,0,0.003198521297098317,2,4.110566436691974,0.24407758597270773
20,0.0408547897394102,PPFD_Avg+Upland,9,0,0.003919020939970293,2,2.4621558806775257,-1.3516629710678152
21,0.03668090428748581,wind_speed+air_pressure+PPFD_Avg,0,0,0.004035291162711595,3,4.390048885338969,-1.3496951165321733
22,0.037328583350491974,wind_speed+PPFD_Avg+AirTC_Avg,1,0,0.004089523922754632,3,5.0466970097359845,-0.7585006532856039
23,0.03531558185690815,wind_speed+PPFD_Avg+VPD,2,0,0.004060077783035728,3,2.903706887205099,-2.5792753545679465
24,0.03789598561887726,wind_speed+PPFD_Avg+Temp,3,0,0.00460026778611778,3,5.228122548201657,-0.23400754985413316
25,0.037265894328205346,wind_speed+PPFD_Avg+VWC,4,0,0.0039531704906673225,3,5.087385905464934,-0.8272919552417963
26,0.03649429318401705,wind_speed+PPFD_Avg+Sedge,5,0,0.0030400204300354955,3,4.915573052652765,-1.6901480467455283
27,0.03712936224110351,wind_speed+PPFD_Avg+Shrub,6,0,0.004031003602836502,3,4.8778244419508185,-0.9439487342488951
28,0.038540674727879025,wind_speed+PPFD_Avg+Grass,7,0,0.004156284754479632,3,6.279335874881951,0.33035357889008193
29,0.03662166773267515,wind_speed+PPFD_Avg+Upland,8,0,0.004278857057623925,3,4.165089253600145,-1.3660346738636122
30,0.033299712758227934,air_pressure+PPFD_Avg+AirTC_Avg,9,2,0.004287068048356906,3,0.7088421335598818,-4.290998160994992
31,0.035519491412538295,air_pressure+PPFD_Avg+VPD,10,0,0.003673044122070738,3,3.32088232829044,-2.4989545713469346
32,0.03575810608485381,air_pressure+PPFD_Avg+Temp,11,0,0.0044840030075750225,3,3.165840036789749,-2.0795308653926416
33,0.03578333473059693,air_pressure+PPFD_Avg+VWC,12,0,0.004451241937044219,3,3.20720844580436,-2.065285739728333
34,0.03421639484387911,air_pressure+PPFD_Avg+Sedge,13,2,0.004548652161248396,3,1.59609883975731,-3.383846647458888
35,0.037627043827576624,air_pressure+PPFD_Avg+Shrub,14,0,0.0032739361360528568,3,6.114442962763255,-0.5351219019088282
36,0.03687637303983985,air_pressure+PPFD_Avg+Grass,15,0,0.0037399150596089553,3,4.821673201426028,-1.2113024424180237
37,0.03609719360932394,air_pressure+PPFD_Avg+Upland,16,0,0.003947341285767302,3,3.8118550652523457,-1.89668938337742
38,0.03457489786862531,PPFD_Avg+AirTC_Avg+VPD,17,0,0.0038339288686543307,3,2.183183896272721,-3.3301708417642524
39,0.03443505065522096,PPFD_Avg+VPD+Temp,18,0,0.004586207070765223,3,1.8041063339821954,-3.183451757106248
40,0.032617371712920014,PPFD_Avg+VPD+VWC,19,2,0.003069168156144588,3,0.0,-5.581256353464475
41,0.039140355199421085,PPFD_Avg+VPD+Sedge,20,0,0.00388309626326556,3,7.218376902819734,0.8927987846425558
42,0.03810847995286493,PPFD_Avg+VPD+Shrub,21,0,0.0033588819350581726,3,6.610217167675087,-0.06098572224409451
43,0.03869135113369196,PPFD_Avg+VPD+Grass,22,0,0.0037387531408660563,3,6.877711303708906,0.48687284287340904
44,0.03834089233496782,PPFD_Avg+VPD+Upland,23,0,0.004271767848858257,3,5.959867638777128,0.14987378852477606
45,0.03091026070948089,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg,0,0,0.0034286323261443633,4,3.395905499166909,-2.031924055297992
46,0.033085835675207745,wind_speed+air_pressure+PPFD_Avg+Sedge,1,0,0.004198501418007439,4,5.197238449901097,0.49337325082539657
