,Unnamed: 0,MSE,Model,Number,Performance,SE,Size
59,59,0.02921269573013604,PPFD_Avg+VPD+VWC+Sedge+Shrub,8,0,0.0006230507129839759,5
60,60,0.030258788921432286,PPFD_Avg+VPD+VWC+Sedge+Out_of_Basin,9,0,0.00074451089906246,5
61,61,0.029721139764589313,PPFD_Avg+VPD+VWC+Shrub+Grass,10,0,0.0006509268232478025,5
62,62,0.028786224681509227,PPFD_Avg+VPD+VWC+Shrub+Sparse,11,0,0.0006687701610359696,5
63,63,0.028565579095582213,PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,12,0,0.0005998522039994923,5
64,64,0.029014822579617367,PPFD_Avg+VPD+VWC+Grass+Out_of_Basin,13,0,0.0006346407434948652,5
65,65,0.03044971969971044,PPFD_Avg+VPD+VWC+Sparse+Out_of_Basin,14,0,0.0007015227853168677,5
66,66,0.025678036282729258,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub,0,1,0.0005853699187884508,6
67,67,0.02576241481181306,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Out_of_Basin,1,1,0.0006062323955627177,6
68,68,0.02760293816073403,wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,2,0,0.0006787790232183737,6
69,69,0.027342234955660027,wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC+Out_of_Basin,3,0,0.000624373703246416,6
70,70,0.02694544780155397,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub,4,0,0.0006924832914457983,6
71,71,0.02534686299282984,wind_speed+PPFD_Avg+VPD+Temp+VWC+Out_of_Basin,5,1,0.0006184749456215915,6
72,72,0.0279505158012572,wind_speed+PPFD_Avg+VPD+VWC+Sedge+Shrub,6,0,0.0007529867957317219,6
73,73,0.02778212769826268,wind_speed+PPFD_Avg+VPD+VWC+Sedge+Out_of_Basin,7,0,0.0006796213791823509,6
74,74,0.028064795607112832,wind_speed+PPFD_Avg+VPD+VWC+Shrub+Grass,8,0,0.00062777644520731,6
75,75,0.027172970243225337,wind_speed+PPFD_Avg+VPD+VWC+Shrub+Sparse,9,0,0.0006824944886295008,6
76,76,0.026528106710268427,wind_speed+PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,10,0,0.0005556106700225184,6
77,77,0.026827590794691717,wind_speed+PPFD_Avg+VPD+VWC+Grass+Out_of_Basin,11,0,0.0005799967001832898,6
78,78,0.027150222703311737,wind_speed+PPFD_Avg+VPD+VWC+Sparse+Out_of_Basin,12,0,0.0005953485334451307,6
79,79,0.026058196689412668,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,0,1,0.0005904873507958412,7
80,80,0.02577595027741717,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Out_of_Basin,1,1,0.0005890201889393829,7
81,81,0.02569846965521506,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub,2,1,0.0006279323842660418,7
82,82,0.025743062043270398,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Out_of_Basin,3,1,0.0006282044559783863,7
83,83,0.02598121323222938,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Shrub,4,1,0.0005733547768172499,7
84,84,0.026813938678681117,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Out_of_Basin,5,0,0.0006214780957220316,7
85,85,0.026168255262895283,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Grass,6,0,0.0005991236188728153,7
86,86,0.02577453187121599,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Sparse,7,1,0.0005816952739287466,7
87,87,0.025633601384526496,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,8,1,0.0005752842053395902,7
88,88,0.025581888496025763,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Grass+Out_of_Basin,9,1,0.0005834149621724169,7
89,89,0.0259103852483453,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sparse+Out_of_Basin,10,1,0.0006559382806665668,7
90,90,0.0260431068323701,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Out_of_Basin,11,1,0.0006164691178960058,7
91,91,0.026654488801906462,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,12,0,0.0006533835578120015,7
92,92,0.025792521486204874,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,13,1,0.0006500023677375947,7
93,93,0.02596814486584946,wind_speed+PPFD_Avg+VPD+Temp+VWC+Grass+Out_of_Basin,14,1,0.0006132815927013883,7
94,94,0.026042369149850867,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sparse+Out_of_Basin,15,1,0.0006769520508755437,7
95,95,0.02520437431112549,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub,0,2,0.0006369401245949356,8
96,96,0.024696846448282392,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Out_of_Basin,1,3,0.0005839038868889633,8
97,97,0.02546428809211357,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Shrub,2,0,0.0006622786839666407,8
98,98,0.025635451459949127,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge+Out_of_Basin,3,0,0.0006433153434503942,8
99,99,0.025996085399777588,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub+Grass,4,0,0.0005840393971356067,8
100,100,0.026018420894969217,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub+Sparse,5,0,0.0005654862416012026,8
101,101,0.025984488050625944,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub+Out_of_Basin,6,0,0.0005877993173034986,8
102,102,0.025441655586061825,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Grass+Out_of_Basin,7,0,0.0006376060956028036,8
103,103,0.02568517331531793,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC+Sparse+Out_of_Basin,8,0,0.0006405477961481367,8
104,104,0.0257408840144674,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub,9,0,0.0006262210922695008,8
105,105,0.02613932436025609,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,10,0,0.0006151702011864402,8
106,106,0.02589650637971781,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass,11,0,0.0005801437935947949,8
107,107,0.02572278199263528,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse,12,0,0.0006946941583750557,8
108,108,0.025067196533983902,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,13,2,0.0005536337499605803,8
109,109,0.02550398289629878,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Grass+Out_of_Basin,14,0,0.0005833868154441746,8
110,110,0.025249119959467832,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sparse+Out_of_Basin,15,2,0.0005375027993522613,8
111,111,0.02642542648224919,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Shrub+Grass,16,0,0.0005867231906966827,8
112,112,0.026332724477559768,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Shrub+Sparse,17,0,0.0005680093240535321,8
113,113,0.026351473449652225,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Shrub+Out_of_Basin,18,0,0.0005017451810882384,8
114,114,0.026555693899818825,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Grass+Out_of_Basin,19,0,0.000524573058402099,8
115,115,0.026514420144915576,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Sedge+Sparse+Out_of_Basin,20,0,0.0006420491956785723,8
116,116,0.02602571069706534,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Grass+Sparse,21,0,0.0005968271964537087,8
117,117,0.02611840353617054,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Grass+Out_of_Basin,22,0,0.0005672396769895224,8
118,118,0.025655674831684492,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Shrub+Sparse+Out_of_Basin,23,0,0.000541798291108958,8
119,119,0.026428051321957788,wind_speed+air_pressure+PPFD_Avg+VPD+VWC+Grass+Sparse+Out_of_Basin,24,0,0.0006137103091148819,8
120,120,0.027468272506675717,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,25,0,0.0007271998936159815,8
121,121,0.025900938813772083,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,26,0,0.0006576596029663883,8
122,122,0.02658966155871024,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Grass+Out_of_Basin,27,0,0.0006863158293493343,8
123,123,0.02639866747346199,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sparse+Out_of_Basin,28,0,0.0006716220235235763,8
124,124,0.026574369215225574,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,29,0,0.000543524700491059,8
125,125,0.026698652309424517,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Grass+Out_of_Basin,30,0,0.000536235442217072,8
126,126,0.02725428675380684,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Sparse+Out_of_Basin,31,0,0.0006969741016104071,8
127,127,0.026626645512690388,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,32,0,0.0006631154640377138,8
128,128,0.02618865012057545,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Sparse+Out_of_Basin,33,0,0.0006203019996884018,8
129,129,0.026880170983395284,wind_speed+PPFD_Avg+VPD+Temp+VWC+Grass+Sparse+Out_of_Basin,34,0,0.0006748251735056031,8
130,130,0.025646729462140527,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub,0,0,0.0005940844333119561,9
131,131,0.025749638026999536,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,1,0,0.0006129562862285442,9
132,132,0.0253014801521555,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Grass,2,1,0.0006158050417435656,9
133,133,0.025372088541379918,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Sparse,3,1,0.0005958653324859921,9
134,134,0.025032833628698438,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,4,2,0.0005708158039215753,9
135,135,0.025141401982470408,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Grass+Out_of_Basin,5,2,0.0006512215373334563,9
136,136,0.02491162791451621,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sparse+Out_of_Basin,6,2,0.0006707180162014116,9
137,137,0.025802921436613824,wind_speed+air_pressure+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,7,0,0.0005571961737247091,9
