,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,K,Thresh
0,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,32.84104534999535,8,0,48,5.859844745918278,0.7091205718121825,4,15,38.70089009591363
1,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.84253135391948,8,1,48,5.006832971598303,0.7091074099908357,-3,15,37.84936432551778
2,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,33.68951080754898,8,2,48,5.777448515078683,0.7016055507615402,-3,15,39.46695932262766
3,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,32.84104534999535,8,0,48,5.859844745918278,0.7091205718121825,4,15,38.70089009591363
4,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.84253135391948,8,1,48,5.006832971598303,0.7091074099908357,-4,15,37.84936432551778
5,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,33.68951080754898,8,2,48,5.777448515078683,0.7016055507615402,-4,15,39.46695932262766
6,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,32.84104534999535,8,0,48,5.859844745918278,0.7091205718121825,4,15,38.70089009591363
7,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.84253135391948,8,1,48,5.006832971598303,0.7091074099908357,-5,15,37.84936432551778
8,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,33.68951080754898,8,2,48,5.777448515078683,0.7016055507615402,-5,15,39.46695932262766
9,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,32.84104534999535,8,0,48,5.859844745918278,0.7091205718121825,4,15,38.70089009591363
10,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.84253135391948,8,1,48,5.006832971598303,0.7091074099908357,-6,15,37.84936432551778
11,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,33.68951080754898,8,2,48,5.777448515078683,0.7016055507615402,-6,15,39.46695932262766
