,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
0,PPFD_Avg,1.755930579094569,1,0,45,0.16204562406037937,0.8441617183032277,1,1.9179762031549483
1,PPFD_Avg+VPD,1.6896866821331824,2,0,30,0.17452499834540433,0.8500408431378119,1,1.8642116804785867
2,PPFD_Avg+wind_speed,1.691308419968466,2,1,30,0.17441826111821251,0.8498969144195458,1,1.8657266810866786
3,PPFD_Avg+VWC,1.7078631136325908,2,2,30,0.19420008225225435,0.8484276906100465,0,1.902063195884845
4,PPFD_Avg+VPD+wind_speed,1.5538532854453135,3,0,22,0.14983432133156704,0.8620960139907443,0,1.7036876067768807
5,PPFD_Avg+VPD+VWC,1.4329289821585784,3,1,22,0.11700696696456477,0.8728280075353303,1,1.5499359491231433
6,PPFD_Avg+wind_speed+VWC,1.6197973410156177,3,2,22,0.150875072539176,0.856243499984472,0,1.7706724135547938
7,PPFD_Avg+VPD+wind_speed+VWC,1.4459701436989154,4,0,18,0.19453059600201633,0.8716706085868912,0,1.6405007397009317
