,MSE,Model,Number,Performance,SE,Size,T,T2
92,0.023688414222351063,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Sparse,6,1,0.005063466370983995,5,,
93,0.02319849179758285,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Out_of_Basin,7,1,0.00492416852303465,5,,
94,0.021541765587817768,air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC,8,1,0.004729222995902851,5,,
95,0.02032651263535225,air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC,9,1,0.004755900356173899,5,,
96,0.023358221262622342,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Sedge,10,1,0.005029071935266011,5,,
97,0.024655698724935,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Shrub,11,1,0.004336622019642014,5,,
98,0.024646607743667,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Grass,12,1,0.005301895512145129,5,,
99,0.02458044261758143,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Sparse,13,1,0.005199827538195128,5,,
100,0.02246706527823685,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Out_of_Basin,14,1,0.004456512243937903,5,,
101,0.02100229330640551,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC,15,1,0.00448082567109612,5,,
102,0.02374331821659465,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge,16,1,0.004413092862672207,5,,
103,0.02287592531448233,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,17,1,0.004495021154606629,5,,
104,0.024171353912824992,PPFD_Avg+AirTC_Avg+VPD+VWC+Grass,18,1,0.00507181893312875,5,,
105,0.024000890012797114,PPFD_Avg+AirTC_Avg+VPD+VWC+Sparse,19,1,0.005401704200413257,5,,
106,0.022960477382854567,PPFD_Avg+AirTC_Avg+VPD+VWC+Out_of_Basin,20,1,0.003954796206848266,5,,
107,0.024032532851188056,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,21,1,0.0049252880975737155,5,,
108,0.0230746175829208,PPFD_Avg+AirTC_Avg+Temp+VWC+Shrub,22,1,0.0051613794544903896,5,,
109,0.02326286307325869,PPFD_Avg+AirTC_Avg+Temp+VWC+Grass,23,1,0.006225133230832918,5,,
110,0.02152824141827752,PPFD_Avg+AirTC_Avg+Temp+VWC+Sparse,24,1,0.004762077459913279,5,,
111,0.02268250223185244,PPFD_Avg+AirTC_Avg+Temp+VWC+Out_of_Basin,25,1,0.005209678738643065,5,,
112,0.0261058759319076,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub,26,0,0.004567523066798355,5,,
113,0.026182158314662564,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass,27,0,0.005863469386724593,5,,
114,0.02614027593422891,PPFD_Avg+AirTC_Avg+VWC+Sedge+Sparse,28,0,0.0046675384326656435,5,,
115,0.02518475224620448,PPFD_Avg+AirTC_Avg+VWC+Sedge+Out_of_Basin,29,0,0.003890986161771682,5,,
116,0.025417031959783908,PPFD_Avg+AirTC_Avg+VWC+Shrub+Grass,30,0,0.005410245963668038,5,,
117,0.02398219234370931,PPFD_Avg+AirTC_Avg+VWC+Shrub+Sparse,31,1,0.0050590463637335105,5,,
118,0.02419008075281693,PPFD_Avg+AirTC_Avg+VWC+Shrub+Out_of_Basin,32,1,0.00504381263926314,5,,
119,0.025509558859781508,PPFD_Avg+AirTC_Avg+VWC+Grass+Sparse,33,0,0.005225815000662287,5,,
120,0.024423442493213102,PPFD_Avg+AirTC_Avg+VWC+Grass+Out_of_Basin,34,1,0.005308390693050437,5,,
121,0.024804866631862245,PPFD_Avg+AirTC_Avg+VWC+Sparse+Out_of_Basin,35,1,0.004423127307714965,5,,
122,0.2829386108769949,wind_speed,0,0,0.013844500890197595,1,33.54540431958384,33.54540431958384
123,0.2819401178818244,air_pressure,1,0,0.016618712732426013,1,28.153720565932183,28.153720565932183
124,0.04153436084115412,PPFD_Avg,2,1,0.003934365291105436,1,0.0,0.0
125,0.2391015955797829,AirTC_Avg,3,0,0.015436738270561181,1,24.804070906232774,24.804070906232774
126,0.20901619423146972,VPD,4,0,0.01786004700607801,1,18.315774108696843,18.315774108696843
127,0.25128873224902204,Temp,5,0,0.01418279666148096,1,28.50235616441632,28.50235616441632
128,0.28544932522357896,VWC,6,0,0.014809678280911778,1,31.835672618954202,31.835672618954202
129,0.2772382221838971,Sedge,7,0,0.01657733654142733,1,27.66831186419129,27.66831186419129
130,0.2834141999522328,Shrub,8,0,0.017196735333585133,1,27.42237292191813,27.42237292191813
131,0.2850651914096079,Grass,9,0,0.016627004426882988,1,28.50622720483961,28.50622720483961
132,0.28108177738891305,Sparse,10,0,0.01375766573454629,1,33.481644280408005,33.481644280408005
133,0.2693133778101923,Out_of_Basin,11,0,0.017114990992109502,1,25.940898454187302,25.940898454187302
134,0.2829386108769949,wind_speed,0,0,0.013844500890197595,1,33.54540431958384,33.54540431958384
135,0.2819401178818244,air_pressure,1,0,0.016618712732426013,1,28.153720565932183,28.153720565932183
136,0.04153436084115412,PPFD_Avg,2,1,0.003934365291105436,1,0.0,0.0
137,0.2391015955797829,AirTC_Avg,3,0,0.015436738270561181,1,24.80407090623278,24.80407090623278
138,0.20901619423146972,VPD,4,0,0.01786004700607801,1,18.315774108696843,18.315774108696843
139,0.25128873224902204,Temp,5,0,0.01418279666148096,1,28.50235616441632,28.50235616441632
140,0.28544932522357896,VWC,6,0,0.014809678280911778,1,31.8356726189542,31.8356726189542
141,0.2772382221838971,Sedge,7,0,0.01657733654142733,1,27.668311864191292,27.668311864191292
142,0.2834141999522328,Shrub,8,0,0.017196735333585133,1,27.422372921918132,27.422372921918132
143,0.2850651914096079,Grass,9,0,0.016627004426882988,1,28.506227204839615,28.506227204839615
144,0.28108177738891305,Sparse,10,0,0.01375766573454629,1,33.481644280408005,33.481644280408005
145,0.2693133778101923,Out_of_Basin,11,0,0.017114990992109502,1,25.940898454187305,25.940898454187305
146,0.2829386108769949,wind_speed,0,0,0.013844500890197595,1,33.54540431958384,33.54540431958384
147,0.2819401178818244,air_pressure,1,0,0.016618712732426013,1,28.153720565932183,28.153720565932183
148,0.04153436084115412,PPFD_Avg,2,1,0.003934365291105436,1,0.0,0.0
149,0.2391015955797829,AirTC_Avg,3,0,0.015436738270561181,1,24.80407090623278,24.80407090623278
150,0.20901619423146972,VPD,4,0,0.01786004700607801,1,18.315774108696843,18.315774108696843
151,0.25128873224902204,Temp,5,0,0.01418279666148096,1,28.50235616441632,28.50235616441632
152,0.28544932522357896,VWC,6,0,0.014809678280911778,1,31.8356726189542,31.8356726189542
153,0.2772382221838971,Sedge,7,0,0.01657733654142733,1,27.668311864191292,27.668311864191292
154,0.2834141999522328,Shrub,8,0,0.017196735333585133,1,27.422372921918132,27.422372921918132
155,0.2850651914096079,Grass,9,0,0.016627004426882988,1,28.506227204839615,28.506227204839615
156,0.28108177738891305,Sparse,10,0,0.01375766573454629,1,33.481644280408005,33.481644280408005
157,0.2693133778101923,Out_of_Basin,11,0,0.017114990992109502,1,25.940898454187305,25.940898454187305
