NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,7/7/2009,14:00:00,2455020.38,0.09515058,,105.9606571,3782.859688,0.016704633,-0.093548734,105.8671083,3782.766139,1.016685543,105.8655154,23.43805376,23.43937248,107.211336,22.49640701,0.043034837,-5.003573803,#NUM!,14:04:27,#NUM!,#NUM!,#NUM!,715.5564262,-1.110893451,46.87505695,43.12494305,0.017207717,43.14215077,178.593716,
,,,7/8/2009,14:00:00,2455021.38,0.09517796,,106.9463044,3783.845288,0.016704632,-0.125750923,106.8205535,3783.719537,1.016669285,106.8189628,23.4380534,23.43937009,108.2352945,22.38095053,0.043034828,-5.156898542,#NUM!,14:04:36,#NUM!,#NUM!,#NUM!,715.4031015,-1.149224635,46.99084524,43.00915476,0.017277374,43.02643214,178.5467255,
,,,7/9/2009,14:00:00,2455022.38,0.09520534,,107.9319518,3784.830888,0.016704631,-0.157918134,107.7740337,3784.67297,1.016648255,107.7724452,23.43805304,23.43936771,109.2575455,22.25905753,0.043034819,-5.303410892,#NUM!,14:04:45,#NUM!,#NUM!,#NUM!,715.2565891,-1.185852723,47.11306475,42.88693525,0.017351226,42.90428648,178.5020701,
,,,7/10/2009,14:00:00,2455023.38,0.09523272,,108.9175992,3785.816489,0.01670463,-0.190041419,108.7275577,3785.626447,1.016622458,108.7259716,23.43805269,23.43936532,110.2780182,22.13077607,0.04303481,-5.44282674,#NUM!,14:04:53,#NUM!,#NUM!,#NUM!,715.1171733,-1.220706685,47.24166527,42.75833473,0.017429298,42.77576403,178.4598381,
,,,7/11/2009,14:00:00,2455024.38,0.09526010,,109.9032465,3786.802089,0.016704628,-0.222111837,109.6811347,3786.579977,1.016591902,109.6795508,23.43805233,23.43936293,111.2966451,21.99615628,0.043034801,-5.574873038,#NUM!,14:05:01,#NUM!,#NUM!,#NUM!,714.985127,-1.25371826,47.37659454,42.62340546,0.017511616,42.64091707,178.4201129,
,,,7/12/2009,14:00:00,2455025.38,0.09528747,,110.8888939,3787.787689,0.016704627,-0.254120462,110.6347734,3787.533569,1.016556594,110.6331918,23.43805198,23.43936054,112.3133611,21.85525031,0.043034791,-5.699288175,#NUM!,14:05:08,#NUM!,#NUM!,#NUM!,714.8607118,-1.284822044,47.51779834,42.48220166,0.017598212,42.49979987,178.3829729,
,,,7/13/2009,14:00:00,2455026.38,0.09531485,,111.8745412,3788.773289,0.016704626,-0.28605838,111.5884829,3788.487231,1.016516544,111.5869035,23.43805162,23.43935815,113.3281045,21.70811228,0.043034782,-5.815822328,#NUM!,14:05:15,#NUM!,#NUM!,#NUM!,714.7441777,-1.313955582,47.66522054,42.33477946,0.017689116,42.35246857,178.3484914,
,,,7/14/2009,14:00:00,2455027.38,0.09534223,,112.8601886,3789.75889,0.016704625,-0.317916692,112.5422719,3789.440973,1.016471764,112.5406948,23.43805126,23.43935576,114.3408162,21.55479822,0.043034773,-5.924237783,#NUM!,14:05:22,#NUM!,#NUM!,#NUM!,714.6357622,-1.341059446,47.81880319,42.18119681,0.017784363,42.19898117,178.3167367,
,,,7/15/2009,14:00:00,2455028.38,0.09536961,,113.845836,3790.74449,0.016704624,-0.349686521,113.4961494,3790.394803,1.016422264,113.4945746,23.43805091,23.43935337,115.3514406,21.39536597,0.043034764,-6.024309225,#NUM!,14:05:28,#NUM!,#NUM!,#NUM!,714.5356908,-1.366077306,47.97848659,42.02151341,0.017883987,42.0393974,178.2877717,
,,,7/16/2009,14:00:00,2455029.38,0.09539699,,114.8314833,3791.73009,0.016704623,-0.381359005,114.4501243,3791.348731,1.016368057,114.4485517,23.43805055,23.43935098,116.359925,21.22987519,0.043034755,-6.115823997,#NUM!,14:05:33,#NUM!,#NUM!,#NUM!,714.444176,-1.388955999,48.14420937,41.85579063,0.017988027,41.87377866,178.2616539,
,,,7/17/2009,14:00:00,2455030.38,0.09542437,,115.8171307,3792.715691,0.016704621,-0.412925308,115.4042054,3792.302765,1.01630916,115.402635,23.4380502,23.43934858,117.3662199,21.05838723,0.043034746,-6.19858234,#NUM!,14:05:38,#NUM!,#NUM!,#NUM!,714.3614177,-1.409645585,48.31590856,41.68409144,0.018096525,41.70218796,178.2384356,
,,,7/18/2009,14:00:00,2455031.38,0.09545175,,116.8027781,3793.701291,0.01670462,-0.444376617,116.3584014,3793.256914,1.016245587,116.3568333,23.43804984,23.43934619,118.3702793,20.88096509,0.043034737,-6.272397593,#NUM!,14:05:43,#NUM!,#NUM!,#NUM!,714.2876024,-1.428099398,48.49351967,41.50648033,0.018209524,41.52468985,178.2181637,
,,,7/19/2009,14:00:00,2455032.38,0.09547912,,117.7884254,3794.686891,0.016704619,-0.475704144,117.3127213,3794.211187,1.016177355,117.3111553,23.43804948,23.43934379,119.3720602,20.69767338,0.043034728,-6.33709637,#NUM!,14:05:47,#NUM!,#NUM!,#NUM!,714.2229036,-1.444274092,48.67697677,41.32302323,0.018327069,41.3413503,178.2008798,
,,,7/20/2009,14:00:00,2455033.38,0.09550650,,118.7740728,3795.672491,0.016704618,-0.506899131,118.2671736,3795.165592,1.016104483,118.2656099,23.43804913,23.43934139,120.371523,20.5085782,0.043034719,-6.392518702,#NUM!,14:05:50,#NUM!,#NUM!,#NUM!,714.1674813,-1.458129676,48.86621252,41.13378748,0.018449209,41.15223669,178.1866199,
,,,7/21/2009,14:00:00,2455034.38,0.09553388,,119.7597201,3796.658092,0.016704617,-0.537952848,119.2217673,3796.120139,1.01602699,119.2202058,23.43804877,23.43933899,121.3686316,20.31374715,0.04303471,-6.43851816,#NUM!,14:05:53,#NUM!,#NUM!,#NUM!,714.1214818,-1.46962954,49.06115832,40.93884168,0.018575997,40.95741767,178.175415,
,,,7/22/2009,14:00:00,2455035.38,0.09556126,,120.7453675,3797.643692,0.016704616,-0.568856599,120.1765109,3797.074835,1.015944897,120.1749517,23.43804842,23.43933659,122.363353,20.11324922,0.043034701,-6.474961938,#NUM!,14:05:55,#NUM!,#NUM!,#NUM!,714.0850381,-1.478740485,49.26174431,40.73825569,0.018707486,40.75696317,178.1672904,
,,,7/23/2009,14:00:00,2455036.38,0.09558864,,121.7310149,3798.629292,0.016704615,-0.599601721,121.1314131,3798.02969,1.015858227,121.1298561,23.43804806,23.43933419,123.3556576,19.90715472,0.043034692,-6.501730916,#NUM!,14:05:57,#NUM!,#NUM!,#NUM!,714.0582691,-1.485432729,49.46789947,40.53210053,0.018843736,40.55094426,178.1622665,
,,,7/24/2009,14:00:00,2455037.38,0.09561602,,122.7166622,3799.614892,0.016704613,-0.63017959,122.0864826,3798.984713,1.015767002,122.0849278,23.4380477,23.43933179,124.3455193,19.69553526,0.043034683,-6.51871969,173.9810377,14:05:58,2:30:02,1:41:53,1391.848302,714.0412803,-1.489679923,49.67955168,40.32044832,0.018984806,40.33943313,178.1603581,
,,,7/25/2009,14:00:00,2455038.38,0.09564339,,123.7023096,3800.600493,0.016704612,-0.660581616,123.041728,3799.939911,1.015671246,123.0401754,23.43804735,23.43932938,125.3329154,19.47846364,0.043034674,-6.52583658,169.4490869,14:05:58,2:48:10,1:23:46,1355.592696,714.0341634,-1.491459145,49.89662778,40.10337222,0.019130761,40.12250299,178.1615752,
,,,7/26/2009,14:00:00,2455039.38,0.09567077,,124.6879569,3801.586093,0.016704611,-0.690799253,123.9971577,3800.895294,1.015570987,123.9956073,23.43804699,23.43932698,126.3178262,19.25601384,0.043034665,-6.523003606,166.2755331,14:05:58,3:00:52,1:11:04,1330.204265,714.0369964,-1.490750902,50.11905364,39.88094636,0.019281671,39.90022803,178.1659225,
,,,7/27/2009,14:00:00,2455040.38,0.09569815,,125.6736043,3802.571693,0.01670461,-0.720823995,124.9527803,3801.850869,1.01546625,124.9512321,23.43804664,23.43932457,127.3002356,19.02826094,0.043034656,-6.510156443,163.6497885,14:05:57,3:11:21,1:00:33,1309.198308,714.0498436,-1.487539111,50.34675423,39.65324577,0.019437605,39.67268337,178.1733998,
,,,7/28/2009,14:00:00,2455041.38,0.09572553,,126.6592517,3803.557294,0.016704609,-0.750647381,125.9086043,3802.806646,1.015357064,125.9070583,23.43804628,23.43932217,128.280131,18.79528103,0.043034647,-6.487244346,161.339585,14:05:56,3:20:34,0:51:17,1290.71668,714.0727557,-1.481811087,50.57965366,39.42034634,0.019598641,39.43994498,178.184002,
,,,7/29/2009,14:00:00,2455042.38,0.09575291,,127.644899,3804.542894,0.016704608,-0.780260998,126.864638,3803.762633,1.015243458,126.8630943,23.43804592,23.43931976,129.2575026,18.5571512,0.043034637,-6.454230058,159.2396942,14:05:54,3:28:56,0:42:51,1273.917554,714.1057699,-1.473557515,50.81767525,39.18232475,0.019764857,39.20208961,178.1977194,
,,,7/30/2009,14:00:00,2455043.38,0.09578029,,128.6305464,3805.528494,0.016704607,-0.809656479,127.8208899,3804.718838,1.015125463,127.8193483,23.43804557,23.43931735,130.2323442,18.31394949,0.043034628,-6.411089689,157.2920363,14:05:51,3:36:41,0:35:01,1258.336291,714.1489103,-1.462772422,51.06074155,38.93925845,0.019936339,38.95919479,178.2145374,
,,,7/31/2009,14:00:00,2455044.38,0.09580767,,129.6161938,3806.514094,0.016704605,-0.838825508,128.7773682,3805.675269,1.015003111,128.7758289,23.43804521,23.43931494,131.2046527,18.06575478,0.043034619,-6.357812575,155.4606455,14:05:48,3:43:57,0:27:38,1243.685164,714.2021874,-1.449453144,51.30877445,38.69122555,0.020113173,38.71133872,178.2344371,
,,,8/1/2009,14:00:00,2455045.38,0.09583504,,130.6018411,3807.499695,0.016704604,-0.867759824,129.7340813,3806.631935,1.014876435,129.7325441,23.43804486,23.43931253,132.1744284,17.81264679,0.04303461,-6.294401117,153.7214833,14:05:44,3:50:51,0:20:37,1229.771866,714.2655989,-1.433600279,51.56169518,38.43830482,0.020295453,38.45860028,178.257395,
,,,8/2/2009,14:00:00,2455046.38,0.09586242,,131.5874885,3808.485295,0.016704603,-0.896451216,130.6910373,3807.588844,1.014745469,130.6895023,23.4380445,23.43931012,133.1416744,17.55470601,0.043034601,-6.220870599,152.057581,14:05:40,3:57:26,0:13:53,1216.460648,714.3391294,-1.41521765,51.81942436,38.18057564,0.020483276,38.20105891,178.2833834,
,,,8/3/2009,14:00:00,2455047.38,0.09588980,,132.5731358,3809.470895,0.016704602,-0.924891533,131.6482443,3808.546004,1.014610249,131.6467115,23.43804414,23.4393077,134.1063971,17.29201366,0.043034592,-6.137248992,150.456457,14:05:35,4:03:45,0:07:24,1203.651656,714.422751,-1.394312248,52.08188208,37.91811792,0.020676746,37.93879466,178.3123707,
,,,8/4/2009,14:00:00,2455048.38,0.09591718,,133.5587832,3810.456496,0.016704601,-0.953072681,132.6057105,3809.503423,1.01447081,132.6041799,23.43804379,23.43930529,135.068606,17.02465164,0.043034583,-6.043576733,148.9086291,14:05:29,4:09:51,0:01:07,1191.269033,714.5164233,-1.370894183,52.3489879,37.6510121,0.020875969,37.67188807,178.344321,
,,,8/5/2009,14:00:00,2455049.38,0.09594456,,134.5444306,3811.442096,0.0167046,-0.980986628,133.5634439,3810.461109,1.014327192,133.5619155,23.43804343,23.43930288,136.0283135,16.75270247,0.043034574,-5.939906494,147.4067046,14:05:23,4:15:45,23:55:00,1179.253637,714.6200935,-1.344976623,52.6206609,37.3793391,0.02108106,37.40042016,178.3791947,
,,,8/6/2009,14:00:00,2455050.38,0.09597194,,135.5300779,3812.427696,0.016704598,-1.008625402,134.5214525,3811.419071,1.014179432,134.5199262,23.43804307,23.43930046,136.985535,16.47624926,0.043034565,-5.826302937,145.9447947,14:05:16,4:21:29,23:49:03,1167.558358,714.7336971,-1.316575734,52.89681972,37.10318028,0.021292137,37.12447241,178.4169488,
,,,8/7/2009,14:00:00,2455051.38,0.09599932,,136.5157253,3813.413296,0.016704597,-1.035981098,135.4797442,3812.377315,1.014027572,135.4782201,23.43804272,23.43929804,137.9402887,16.19537569,0.043034555,-5.702842454,144.5181237,14:05:09,4:27:04,23:43:13,1156.14499,714.8571575,-1.285710613,53.17738259,36.82261741,0.021509326,36.84412673,178.4575363,
,,,8/8/2009,14:00:00,2455052.38,0.09602669,,137.5013727,3814.398897,0.016704596,-1.063045876,136.4383268,3813.335851,1.013871651,136.4368048,23.43804236,23.43929562,138.8925957,15.91016592,0.043034546,-5.56961289,143.1227584,14:05:01,4:32:31,23:37:30,1144.982067,714.9903871,-1.252403223,53.46226737,36.53773263,0.021732757,36.55946539,178.5009072,
,,,8/9/2009,14:00:00,2455053.38,0.09605407,,138.48702,3815.384497,0.016704595,-1.089811966,137.397208,3814.294685,1.013711713,137.3956882,23.43804201,23.4392932,139.84248,15.6207046,0.043034537,-5.42671327,141.7554157,14:04:52,4:37:51,23:31:53,1134.043326,715.1332867,-1.216678318,53.75139154,36.24860846,0.021962568,36.27057103,178.5470082,
,,,8/10/2009,14:00:00,2455054.38,0.09608145,,139.4726674,3816.370097,0.016704594,-1.116271667,138.3563957,3815.253826,1.013547802,138.3548781,23.43804165,23.43929078,140.7899682,15.32707681,0.043034528,-5.2742535,140.4133235,14:04:43,4:43:04,23:26:22,1123.306588,715.2857465,-1.178563375,54.04467227,35.95532773,0.022198903,35.97752663,178.595783,
,,,8/11/2009,14:00:00,2455055.38,0.09610883,,140.4583147,3817.355698,0.016704593,-1.142417351,139.3158974,3816.21328,1.013379961,139.3143819,23.43804129,23.43928836,141.7350894,15.02936803,0.043034519,-5.112354073,139.0941163,14:04:33,4:48:11,23:20:56,1112.752931,715.4476459,-1.138088518,54.34202645,35.65797355,0.022441916,35.68041547,178.6471723,
,,,8/12/2009,14:00:00,2455056.38,0.09613621,,141.4439621,3818.341298,0.016704592,-1.168241466,140.2757206,3817.173056,1.013208237,140.2742073,23.43804094,23.43928594,142.6778755,14.72766411,0.04303451,-4.941145764,137.7957569,14:04:23,4:53:12,23:15:34,1102.366055,715.6188542,-1.095286441,54.64337063,35.35662937,0.022691763,35.37932113,178.7011142,
,,,8/13/2009,14:00:00,2455057.38,0.09616359,,142.4296095,3819.326898,0.01670459,-1.193736534,141.2358729,3818.133162,1.013032676,141.2343617,23.43804058,23.43928351,143.6183608,14.42205126,0.043034501,-4.760769316,136.5164759,14:04:12,4:58:08,23:10:16,1092.131807,715.7992307,-1.050192329,54.94862115,35.05137885,0.022948613,35.07432746,178.7575442,
,,,8/14/2009,14:00:00,2455058.38,0.09619097,,143.4152568,3820.312498,0.016704589,-1.218895159,142.1963617,3819.093603,1.012853327,142.1948526,23.43804023,23.43928109,144.5565822,14.11261597,0.043034491,-4.571375133,135.254725,14:04:01,5:03:00,23:05:02,1082.0378,715.9886249,-1.002843783,55.25769406,34.74230594,0.023212641,34.76551858,178.8163952,
,,,8/15/2009,14:00:00,2455059.38,0.09621834,,144.4009042,3821.298099,0.016704588,-1.243710023,143.1571942,3820.054389,1.012670238,143.1556872,23.43803987,23.43927866,145.4925788,13.79944504,0.043034482,-4.37312296,134.0091395,14:03:49,5:07:47,22:59:51,1072.073116,716.186877,-0.95328074,55.57050519,34.42949481,0.023484031,34.45297884,178.8775982,
,,,8/16/2009,14:00:00,2455060.38,0.09624572,,145.3865515,3822.283699,0.016704587,-1.268173891,144.1183777,3821.015525,1.01248346,144.1168729,23.43803951,23.43927624,146.4263922,13.48262554,0.043034473,-4.16618157,132.7785089,14:03:36,5:12:30,22:54:43,1062.228071,716.3938184,-0.901545392,55.88697014,34.11302986,0.023762974,34.13679284,178.9410818,
,,,8/17/2009,14:00:00,2455061.38,0.09627310,,146.3721989,3823.269299,0.016704586,-1.292279612,145.0799193,3821.97702,1.012293043,145.0784166,23.43803916,23.43927381,147.3580661,13.16224475,0.043034464,-3.950728443,131.5617529,14:03:23,5:17:09,22:49:38,1052.494023,716.6092716,-0.847682111,56.2070043,33.7929957,0.024049675,33.81704538,179.0067727,
,,,8/18/2009,14:00:00,2455062.38,0.09630048,,147.3578463,3824.2549,0.016704585,-1.316020124,146.0418261,3822.938879,1.012099041,146.0403256,23.4380388,23.43927138,148.2876465,12.83839021,0.043034455,-3.726949455,130.3579021,14:03:10,5:21:44,22:44:36,1042.863217,716.8330505,-0.791737364,56.53052285,33.46947715,0.024344345,33.4938215,179.0745957,
,,,8/19/2009,14:00:00,2455063.38,0.09632786,,148.3434936,3825.2405,0.016704583,-1.339388451,147.0041052,3823.901111,1.011901506,147.0026068,23.43803845,23.43926895,149.2151815,12.51114963,0.043034446,-3.495038564,129.1660819,14:02:56,5:26:16,22:39:36,1033.328655,717.0649614,-0.733759641,56.85744077,33.14255923,0.024647207,33.16720644,179.1444742,
,,,8/20/2009,14:00:00,2455064.38,0.09635524,,149.329141,3826.2261,0.016704582,-1.362377708,147.9667633,3824.863722,1.011700493,147.965267,23.43803809,23.43926652,150.1407211,12.18061093,0.043034436,-3.255197502,127.9854992,14:02:42,5:30:45,22:34:38,1023.883994,717.3048025,-0.673799375,57.18767284,32.81232716,0.024958495,32.83728565,179.2163297,
,,,8/21/2009,14:00:00,2455065.38,0.09638261,,150.3147884,3827.2117,0.016704581,-1.384981103,148.9298073,3825.826719,1.011496057,148.9283131,23.43803773,23.43926408,151.0643175,11.84686219,0.043034427,-3.007635467,126.8154316,14:02:27,5:35:11,22:29:43,1014.523452,717.5523645,-0.611908867,57.52113366,32.47886634,0.025278455,32.5041448,179.2900825,
,,,8/22/2009,14:00:00,2455066.38,0.09640999,,151.3004357,3828.197301,0.01670458,-1.407191939,149.8932438,3826.790109,1.011288254,149.8917517,23.43803738,23.43926165,151.9860247,11.50999166,0.043034418,-2.752568828,125.6552179,14:02:12,5:39:34,22:24:49,1005.241743,717.8074312,-0.548142207,57.85773761,32.14226239,0.025607344,32.16786974,179.3656514,
,,,8/23/2009,14:00:00,2455067.38,0.09643737,,152.2860831,3829.182901,0.016704579,-1.429003614,150.8570795,3827.753897,1.011077143,150.8555895,23.43803702,23.43925922,152.9058987,11.17008771,0.043034409,-2.490220831,124.5042506,14:01:56,5:43:55,22:19:57,996.0340051,718.0697792,-0.482555208,58.1973989,31.8026011,0.025945434,31.82854653,179.4429543,
,,,8/24/2009,14:00:00,2455068.38,0.09646475,,153.2717304,3830.168501,0.016704578,-1.450409625,151.8213208,3828.718092,1.01086278,151.819833,23.43803667,23.43925678,153.8239971,10.82723889,0.0430344,-2.22082131,123.3619692,14:01:40,5:48:13,22:15:07,986.8957539,718.3391787,-0.415205327,58.54003155,31.45996845,0.026293007,31.48626146,179.5219078,
,,,8/25/2009,14:00:00,2455069.38,0.09649213,,154.2573778,3831.154101,0.016704577,-1.471403568,152.7859742,3829.682698,1.010645227,152.7844885,23.43803631,23.43925434,154.7403793,10.48153384,0.04303439,-1.944606412,122.2278544,14:01:23,5:52:28,22:10:18,977.822835,718.6153936,-0.346151603,58.88554936,31.11445064,0.026650363,31.14110101,179.6024277,
,,,8/26/2009,14:00:00,2455070.38,0.09651951,,155.2430252,3832.139702,0.016704575,-1.491979144,153.751046,3830.647723,1.010424542,153.7495624,23.43803595,23.43925191,155.6551064,10.13306136,0.043034381,-1.661818325,121.1014232,14:01:06,5:56:42,22:05:30,968.8113855,718.8981817,-0.275454581,59.23386595,30.76613405,0.027017816,30.79315187,179.684429,
,,,8/27/2009,14:00:00,2455071.38,0.09654689,,156.2286725,3833.125302,0.016704574,-1.512130156,154.7165424,3831.613172,1.010200787,154.7150608,23.4380356,23.43924947,156.568241,9.781910343,0.043034372,-1.372705018,119.9822251,14:00:49,6:00:53,22:00:44,959.8578006,719.187295,-0.203176255,59.58489472,30.41510528,0.027395695,30.44250098,179.7678257,
,,,8/28/2009,14:00:00,2455072.38,0.09657426,,157.2143199,3834.110902,0.016704573,-1.531850512,155.6824694,3832.579052,1.009974025,155.6809899,23.43803524,23.43924703,157.4798475,9.428169802,0.043034363,-1.077519989,118.8698381,14:00:31,6:05:02,21:56:00,950.9587047,719.48248,-0.129379997,59.93854887,30.06145113,0.027784346,30.08923547,179.8525315,
,,,8/29/2009,14:00:00,2455073.38,0.09660164,,158.1999672,3835.096503,0.016704572,-1.551134231,156.648833,3833.545368,1.009744318,156.6473557,23.43803489,23.43924459,158.3899914,9.07192887,0.043034354,-0.776522019,117.7638658,14:00:13,6:09:10,21:51:16,942.1109267,719.783478,-0.054130505,60.29474137,29.70525863,0.028184133,29.73344276,179.9384593,
,,,8/30/2009,14:00:00,2455074.38,0.09662902,,159.1856146,3836.082103,0.016704571,-1.569975439,157.6156392,3834.512127,1.00951173,157.6141639,23.43803453,23.43924215,159.2987399,8.713276789,0.043034344,-0.469974943,116.6639347,13:59:55,6:13:15,21:46:34,933.3114774,720.0900251,0.022506264,60.65338498,29.34661502,0.02859544,29.37521046,180.0255217,
,,,8/31/2009,14:00:00,2455075.38,0.09665640,,160.171262,3837.067703,0.01670457,-1.588368376,158.5828936,3835.479335,1.009276327,158.5814204,23.43803417,23.4392397,160.2061615,8.352302916,0.043034335,-0.158147425,115.5696914,13:59:36,6:17:19,21:41:53,924.5575309,720.4018526,0.100463144,61.01439219,28.98560781,0.02901867,29.01462648,180.1136308,
,,,9/1/2009,14:00:00,2455076.38,0.09668378,,161.1569093,3838.053303,0.016704569,-1.606307393,159.5506019,3836.446996,1.009038174,159.5491308,23.43803382,23.43923726,161.1123258,7.989096721,0.043034326,0.158687253,114.480801,13:59:17,6:21:21,21:37:12,915.8464077,720.7186873,0.179671813,61.37767527,28.62232473,0.029454246,28.65177897,180.2026986,
,,,9/2/2009,14:00:00,2455077.38,0.09671116,,162.1425567,3839.038904,0.016704567,-1.623786959,160.5187697,3837.415117,1.008797338,160.5173007,23.43803346,23.43923481,162.0173041,7.623747796,0.043034317,0.480251398,113.3969449,13:58:58,6:25:22,21:32:33,907.1755594,721.0402514,0.26006285,61.74314623,28.25685377,0.029902616,28.28675638,180.2926366,
,,,9/3/2009,14:00:00,2455078.38,0.09673854,,163.1282041,3840.024504,0.016704566,-1.640801658,161.4874024,3838.383702,1.008553886,161.4859355,23.43803311,23.43923237,162.9211684,7.256345852,0.043034307,0.806263095,112.3178195,13:58:38,6:29:22,21:27:54,898.5425563,721.3662631,0.341565774,62.11071681,27.88928319,0.030364248,27.91964744,180.3833563,
,,,9/4/2009,14:00:00,2455079.38,0.09676591,,164.1138514,3841.010104,0.016704565,-1.657346196,162.4565052,3839.352758,1.008307886,162.4550403,23.43803275,23.43922992,163.823992,6.88698073,0.043034298,1.136436392,111.2431344,13:58:18,6:33:20,21:23:17,889.9450751,721.6964364,0.424109098,62.48029846,27.51970154,0.030839638,27.55054118,180.4747691,
,,,9/5/2009,14:00:00,2455080.38,0.09679329,,165.0994988,3841.995705,0.016704564,-1.673415397,163.4260834,3840.322289,1.008059408,163.4246206,23.43803239,23.43922747,164.7258495,6.515742406,0.043034289,1.470481475,110.1726111,13:57:58,6:37:17,21:18:40,881.3808889,722.0304815,0.507620369,62.85180235,27.14819765,0.031329309,27.17952696,180.5667864,
,,,9/6/2009,14:00:00,2455081.38,0.09682067,,166.0851461,3842.981305,0.016704563,-1.689004208,164.3961419,3841.292301,1.007808522,164.3946812,23.43803204,23.43922503,165.6268162,6.142720998,0.04303428,1.808104833,109.1059823,13:57:38,6:41:12,21:14:03,872.847858,722.3681048,0.592026208,63.22513933,26.77486067,0.03183381,26.80669448,180.6593195,
,,,9/7/2009,14:00:00,2455082.38,0.09684805,,167.0707935,3843.966905,0.016704562,-1.704107704,165.3666858,3842.262797,1.007555299,165.3652271,23.43803168,23.43922258,166.5269685,5.768006773,0.04303427,2.149009414,108.0429902,13:57:17,6:45:07,21:09:28,864.3439214,722.7090094,0.677252353,63.60021995,26.39978005,0.032353722,26.43213377,180.7522797,
,,,9/8/2009,14:00:00,2455083.38,0.09687543,,168.0564409,3844.952505,0.01670456,-1.718721082,166.3377198,3843.233784,1.007299809,166.3362631,23.43803133,23.43922012,167.4263838,5.391690159,0.043034261,2.492894772,106.9833862,13:56:57,6:49:01,21:04:53,855.8670896,723.0528948,0.763223693,63.97695441,26.02304559,0.032889657,26.05593524,180.8455788,
,,,9/9/2009,14:00:00,2455084.38,0.09690281,,169.0420882,3845.938106,0.016704559,-1.732839669,167.3092486,3844.205266,1.007042126,167.307794,23.43803097,23.43921767,168.3251403,5.013861753,0.043034252,2.839457213,105.9269297,13:56:36,6:52:54,21:00:18,847.4154377,723.3994572,0.849864303,64.35525258,25.64474742,0.033442261,25.67818968,180.9391283,
,,,9/10/2009,14:00:00,2455085.38,0.09693018,,170.0277356,3846.923706,0.016704558,-1.746458923,168.2812767,3845.177247,1.006782321,168.2798241,23.43803061,23.43921522,169.2233169,4.634612332,0.043034243,3.188389924,104.8733874,13:56:15,6:56:45,20:55:45,838.9870996,723.7483899,0.937097481,64.73502396,25.26497604,0.034012218,25.29898826,181.0328401,
,,,9/11/2009,14:00:00,2455086.38,0.09695756,,171.013383,3847.909306,0.016704557,-1.759574431,169.2538085,3846.149732,1.00652047,169.252358,23.43803026,23.43921277,170.1209936,4.254032868,0.043034233,3.539383104,103.8225328,13:55:54,7:00:37,20:51:11,830.5802624,724.0993831,1.024845776,65.11617767,24.88382233,0.03460025,24.91842258,181.1266264,
,,,9/12/2009,14:00:00,2455087.38,0.09698494,,171.9990303,3848.894907,0.016704556,-1.772181916,170.2268484,3847.122725,1.006256646,170.2253999,23.4380299,23.43921031,171.0182506,3.872214533,0.043034224,3.892124089,102.7741452,13:55:33,7:04:27,20:46:39,822.1931617,724.4521241,1.113031022,65.49862246,24.50137754,0.035207118,24.53658466,181.2203997,
,,,9/13/2009,14:00:00,2455088.38,0.09701232,,172.9846777,3849.880507,0.016704555,-1.784277233,171.2004004,3848.09623,1.005990923,171.198954,23.43802955,23.43920785,171.9151694,3.489248718,0.043034215,4.246297465,101.7280096,13:55:12,7:08:17,20:42:06,813.8240766,724.8062975,1.201574366,65.88226665,24.11773335,0.035833631,24.15356698,181.3140725,
,,,9/14/2009,14:00:00,2455089.38,0.09703970,,173.970325,3850.866107,0.016704554,-1.795856376,172.1744687,3849.070251,1.005723379,172.1730243,23.43802919,23.4392054,172.8118315,3.105227046,0.043034206,4.601585192,100.6839158,13:54:50,7:12:06,20:37:34,805.4713261,725.1615852,1.290396298,66.26701817,23.73298183,0.036480642,23.76946247,181.407558,
,,,9/15/2009,14:00:00,2455090.38,0.09706708,,174.9559724,3851.851707,0.016704552,-1.806915477,173.1490569,3850.044792,1.00545409,173.1476145,23.43802883,23.43920294,173.7083194,2.720241381,0.043034196,4.957666707,99.64165812,13:54:29,7:15:55,20:33:03,797.133265,725.5176667,1.379416677,66.65278449,23.34721551,0.037149056,23.38436457,181.5007696,
,,,9/16/2009,14:00:00,2455091.38,0.09709446,,175.9416198,3852.837308,0.016704551,-1.817450807,174.124169,3851.019857,1.005183131,174.1227286,23.43802848,23.43920048,174.604716,2.334383847,0.043034187,5.314219042,98.60103508,13:54:08,7:19:43,20:28:32,788.8082806,725.874219,1.46855476,67.03947265,22.96052735,0.037839831,22.99836719,181.5936211,
