,Key,Level,MSE,Model,R2
0,5_0,5,58.56340651445809,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.6344727097519272
1,5_0,5,42.52113903837808,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.6665134639959582
2,5_0,5,57.70231395101213,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.6398472746910664
3,5_0,5,51.022826932417026,PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,0.5998360769341584
4,1_0,1,156.92937228291723,PPFD_Avg,0.020515171077961636
5,1_0,1,111.50037184933552,PPFD_Avg,0.1255203032628872
6,1_0,1,160.28580178624665,PPFD_Avg,-0.0004342007957149896
7,1_0,1,113.0167736638282,PPFD_Avg,0.11362740481891598
8,1_1,1,144.6795966768741,AirTC_Avg,0.09697293796552242
9,1_1,1,106.69295523875464,AirTC_Avg,0.16322410774338125
10,1_1,1,144.7893292127516,AirTC_Avg,0.09628803524420526
11,1_1,1,105.78283117275603,AirTC_Avg,0.17036206615578053
12,1_2,1,132.52131528475942,Sedge,0.17285963779805458
13,1_2,1,102.91464028736804,Sedge,0.1928568314560022
14,1_2,1,133.34037672106194,Sedge,0.1677474128579901
15,1_2,1,110.30713143401434,Sedge,0.13487869821007636
16,1_3,1,145.96189973632642,VWC,0.08896936046729909
17,1_3,1,119.03693700412006,VWC,0.06641222046742379
18,1_3,1,144.89704170633485,VWC,0.09561574074754497
19,1_3,1,119.57287469223242,VWC,0.062208946350959304
20,1_4,1,158.26863633308434,Grass,0.012156067871364806
21,1_4,1,113.36604612615375,Grass,0.11088811640339591
22,1_4,1,149.5666083777606,Grass,0.06647033829187377
23,1_4,1,113.37089208969822,Grass,0.11085011028143887
24,2_0,2,108.45513581501618,PPFD_Avg+Sedge,0.3230702538083664
25,2_0,2,84.96394703005082,PPFD_Avg+Sedge,0.3336412659428297
26,2_0,2,114.4374265116892,PPFD_Avg+Sedge,0.2857313994285191
27,2_0,2,92.56811250023787,PPFD_Avg+Sedge,0.2740030046167298
28,2_1,2,122.4577346187601,AirTC_Avg+Sedge,0.2356721275415855
29,2_1,2,92.31591214531764,AirTC_Avg+Sedge,0.27598097192060245
30,2_1,2,125.31659538475905,AirTC_Avg+Sedge,0.21782836312985954
31,2_1,2,98.02264039706881,AirTC_Avg+Sedge,0.23122400915732344
32,2_2,2,71.40760925169232,Sedge+VWC,0.5543047874713297
33,2_2,2,59.08959303853483,Sedge+VWC,0.5365697123371047
34,2_2,2,72.90847588016182,Sedge+VWC,0.5449370313181289
35,2_2,2,55.097001372259385,Sedge+VWC,0.56788297427167
36,2_3,2,127.98211394363187,Sedge+Grass,0.20119135661128906
37,2_3,2,98.63139472286112,Sedge+Grass,0.22644964572357995
38,2_3,2,127.86844556489362,Sedge+Grass,0.20190082515043273
39,2_3,2,99.02861749813445,Sedge+Grass,0.22333429062389054
40,3_0,3,63.12377742722302,PPFD_Avg+Sedge+VWC,0.6060088596878506
41,3_0,3,43.560301281363145,PPFD_Avg+Sedge+VWC,0.6583634796682454
42,3_0,3,65.71847898525843,PPFD_Avg+Sedge+VWC,0.5898138620611845
43,3_0,3,46.66578616388218,PPFD_Avg+Sedge+VWC,0.6340076552593681
44,3_1,3,61.13812897303308,AirTC_Avg+Sedge+VWC,0.6184024129669983
45,3_1,3,48.11961800115172,AirTC_Avg+Sedge+VWC,0.6226054832031159
46,3_1,3,65.92958659094434,AirTC_Avg+Sedge+VWC,0.588496220283668
47,3_1,3,54.4875231039925,AirTC_Avg+Sedge+VWC,0.5726630154711924
48,3_2,3,65.71975810533237,Sedge+VWC+Grass,0.5898058783504962
49,3_2,3,51.72564349675222,Sedge+VWC+Grass,0.5943239983119262
50,3_2,3,67.52524623456202,Sedge+VWC+Grass,0.5785368073942251
51,3_2,3,48.56793249540065,Sedge+VWC+Grass,0.6190894238710144
52,4_0,4,59.5093920214178,PPFD_Avg+AirTC_Avg+Sedge+VWC,0.6285682800140913
53,4_0,4,45.45766883043674,PPFD_Avg+AirTC_Avg+Sedge+VWC,0.643482727511161
54,4_0,4,64.75017053047313,PPFD_Avg+AirTC_Avg+Sedge+VWC,0.5958576219219534
55,4_0,4,51.022152209122865,PPFD_Avg+AirTC_Avg+Sedge+VWC,0.5998413686817272
56,4_1,4,59.13038499816241,PPFD_Avg+Sedge+VWC+Grass,0.6309338768678421
57,4_1,4,40.664556540679264,PPFD_Avg+Sedge+VWC+Grass,0.6810743454766847
58,4_1,4,64.28075220419963,PPFD_Avg+Sedge+VWC+Grass,0.5987875267722317
59,4_1,4,43.00530270759163,PPFD_Avg+Sedge+VWC+Grass,0.6627162452817723
60,0_11,0,63.12648715719761,PPFD_Avg+Sedge+VWC,0.6059919467329209
61,0_11,0,43.557486098248475,PPFD_Avg+Sedge+VWC,0.658385558702024
62,0_11,0,65.72468846394175,PPFD_Avg+Sedge+VWC,0.5897751051982891
63,0_11,0,46.69855296002888,PPFD_Avg+Sedge+VWC,0.6337506704845002
64,0_11,0,63.12648715719761,PPFD_Avg+Sedge+VWC,0.6059919467329209
65,0_11,0,43.557486098248475,PPFD_Avg+Sedge+VWC,0.658385558702024
66,0_11,0,65.72468846394175,PPFD_Avg+Sedge+VWC,0.5897751051982891
67,0_11,0,46.69855296002888,PPFD_Avg+Sedge+VWC,0.6337506704845002
